"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"week3.nlogox"
"experiment5"
"03/14/2026 11:03:59:346 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-14","15","-14","15"
"[run number]","Q","F","world-width","world-height","[step]","event-count","interaction-count","interaction-rate","unique-cultures","number-of-regions"
"2","10","5","35","35","0","0","0","0","898","900"
"3","10","5","35","35","0","0","0","0","898","900"
"1","10","5","35","35","0","0","0","0","897","900"
"1","10","5","35","35","1","100000","8477","0.08477","439","451"
"3","10","5","35","35","1","100000","8383","0.08383","456","481"
"2","10","5","35","35","1","100000","8599","0.08599","472","487"
"3","10","5","35","35","2","200000","19555","0.097775","303","343"
"1","10","5","35","35","2","200000","19225","0.096125","310","345"
"2","10","5","35","35","2","200000","19202","0.09601","330","364"
"1","10","5","35","35","3","300000","29870","0.09956666666666666","276","316"
"3","10","5","35","35","3","300000","30960","0.1032","227","265"
"2","10","5","35","35","3","300000","30342","0.10114","279","323"
"1","10","5","35","35","4","400000","40993","0.1024825","215","255"
"3","10","5","35","35","4","400000","42653","0.1066325","201","251"
"2","10","5","35","35","4","400000","42166","0.105415","223","279"
"1","10","5","35","35","5","500000","51258","0.102516","187","239"
"3","10","5","35","35","5","500000","54470","0.10894","186","240"
"2","10","5","35","35","5","500000","54048","0.108096","178","243"
"3","10","5","35","35","6","600000","64579","0.10763166666666667","134","173"
"1","10","5","35","35","6","600000","62283","0.103805","145","196"
"2","10","5","35","35","6","600000","64985","0.10830833333333334","146","197"
"3","10","5","35","35","7","700000","73548","0.10506857142857143","115","172"
"1","10","5","35","35","7","700000","72835","0.10405","126","183"
"2","10","5","35","35","7","700000","74360","0.10622857142857142","113","163"
"3","10","5","35","35","8","800000","82395","0.10299375","99","138"
"1","10","5","35","35","8","800000","83098","0.1038725","107","159"
"2","10","5","35","35","8","800000","83406","0.1042575","102","148"
"3","10","5","35","35","9","900000","91431","0.10159","99","144"
"1","10","5","35","35","9","900000","92944","0.1032711111111111","94","145"
"2","10","5","35","35","9","900000","91476","0.10164","81","115"
"3","10","5","35","35","10","1000000","100088","0.100088","77","117"
"2","10","5","35","35","10","1000000","99063","0.099063","74","110"
"1","10","5","35","35","10","1000000","102382","0.102382","78","123"
"3","10","5","35","35","11","1100000","108012","0.09819272727272728","60","98"
"2","10","5","35","35","11","1100000","106560","0.09687272727272728","68","105"
"1","10","5","35","35","11","1100000","110589","0.10053545454545454","64","97"
"3","10","5","35","35","12","1200000","115885","0.09657083333333333","65","103"
"2","10","5","35","35","12","1200000","113934","0.094945","61","91"
"1","10","5","35","35","12","1200000","118063","0.09838583333333334","55","89"
"3","10","5","35","35","13","1300000","123490","0.0949923076923077","66","96"
"2","10","5","35","35","13","1300000","120977","0.09305923076923077","59","97"
"1","10","5","35","35","13","1300000","125250","0.09634615384615385","48","72"
"3","10","5","35","35","14","1400000","131355","0.093825","70","107"
"2","10","5","35","35","14","1400000","127639","0.09117071428571429","54","74"
"1","10","5","35","35","14","1400000","131435","0.09388214285714286","46","77"
"3","10","5","35","35","15","1500000","138706","0.09247066666666667","52","92"
"2","10","5","35","35","15","1500000","134190","0.08946","48","82"
"1","10","5","35","35","15","1500000","137231","0.09148733333333334","42","63"
"3","10","5","35","35","16","1600000","145499","0.090936875","56","88"
"2","10","5","35","35","16","1600000","140092","0.0875575","50","78"
"1","10","5","35","35","16","1600000","143317","0.089573125","41","65"
"3","10","5","35","35","17","1700000","152024","0.08942588235294117","41","76"
"2","10","5","35","35","17","1700000","146186","0.08599176470588235","50","66"
"1","10","5","35","35","17","1700000","149489","0.08793470588235294","39","63"
"3","10","5","35","35","18","1800000","157991","0.08777277777777778","41","71"
"2","10","5","35","35","18","1800000","152049","0.08447166666666667","41","66"
"1","10","5","35","35","18","1800000","155403","0.086335","37","58"
"3","10","5","35","35","19","1900000","164011","0.08632157894736842","38","65"
"2","10","5","35","35","19","1900000","157724","0.08301263157894737","37","67"
"1","10","5","35","35","19","1900000","161186","0.08483473684210527","34","50"
"3","10","5","35","35","20","2000000","169904","0.084952","40","70"
"2","10","5","35","35","20","2000000","163206","0.081603","36","63"
"1","10","5","35","35","20","2000000","166595","0.0832975","30","57"
"3","10","5","35","35","21","2100000","175729","0.0836804761904762","31","52"
"2","10","5","35","35","21","2100000","168498","0.08023714285714285","37","63"
"1","10","5","35","35","21","2100000","171506","0.0816695238095238","25","43"
"3","10","5","35","35","22","2200000","181709","0.082595","32","50"
"2","10","5","35","35","22","2200000","173687","0.07894863636363636","30","50"
"1","10","5","35","35","22","2200000","175945","0.079975","24","45"
"3","10","5","35","35","23","2300000","187447","0.08149869565217391","34","60"
"2","10","5","35","35","23","2300000","178384","0.07755826086956522","33","60"
"1","10","5","35","35","23","2300000","179865","0.07820217391304347","23","32"
"3","10","5","35","35","24","2400000","192999","0.08041625","32","56"
"2","10","5","35","35","24","2400000","183392","0.07641333333333333","35","65"
"1","10","5","35","35","24","2400000","183416","0.07642333333333333","21","37"
"3","10","5","35","35","25","2500000","198444","0.0793776","30","65"
"2","10","5","35","35","25","2500000","188022","0.0752088","31","55"
"1","10","5","35","35","25","2500000","186578","0.0746312","18","28"
"2","10","5","35","35","26","2600000","192604","0.07407846153846154","28","51"
"3","10","5","35","35","26","2600000","204536","0.07866769230769231","35","70"
"1","10","5","35","35","26","2600000","189833","0.0730126923076923","19","23"
"2","10","5","35","35","27","2700000","197495","0.07314629629629629","26","53"
"3","10","5","35","35","27","2700000","210374","0.0779162962962963","38","63"
"1","10","5","35","35","27","2700000","192943","0.07146037037037037","19","27"
"2","10","5","35","35","28","2800000","201712","0.07204","23","29"
"3","10","5","35","35","28","2800000","215793","0.07706892857142857","29","49"
"1","10","5","35","35","28","2800000","195983","0.06999392857142857","18","24"
"2","10","5","35","35","29","2900000","205492","0.07085931034482759","25","38"
"3","10","5","35","35","29","2900000","220986","0.07620206896551725","29","62"
"1","10","5","35","35","29","2900000","198751","0.0685348275862069","17","29"
"2","10","5","35","35","30","3000000","209195","0.06973166666666666","19","33"
"3","10","5","35","35","30","3000000","226435","0.07547833333333333","30","65"
"1","10","5","35","35","30","3000000","201624","0.067208","15","17"
"2","10","5","35","35","31","3100000","212861","0.06866483870967742","21","36"
"3","10","5","35","35","31","3100000","231659","0.07472870967741936","25","49"
"1","10","5","35","35","31","3100000","204198","0.06587032258064517","16","19"
"2","10","5","35","35","32","3200000","216486","0.067651875","23","29"
"3","10","5","35","35","32","3200000","236358","0.073861875","20","35"
"1","10","5","35","35","32","3200000","206374","0.064491875","15","19"
"2","10","5","35","35","33","3300000","220004","0.06666787878787879","22","32"
"3","10","5","35","35","33","3300000","240652","0.07292484848484848","17","37"
"1","10","5","35","35","33","3300000","208309","0.0631239393939394","14","14"
"2","10","5","35","35","34","3400000","223668","0.06578470588235294","21","35"
"1","10","5","35","35","34","3400000","209907","0.06173735294117647","14","16"
"3","10","5","35","35","34","3400000","245004","0.07206","17","31"
"2","10","5","35","35","35","3500000","227358","0.06495942857142857","22","35"
"1","10","5","35","35","35","3500000","211765","0.06050428571428571","14","21"
"3","10","5","35","35","35","3500000","249223","0.07120657142857142","15","25"
"2","10","5","35","35","36","3600000","231137","0.06420472222222222","21","33"
"1","10","5","35","35","36","3600000","213532","0.05931444444444445","13","14"
"3","10","5","35","35","36","3600000","253023","0.07028416666666666","12","21"
"2","10","5","35","35","37","3700000","234608","0.06340756756756757","23","36"
"1","10","5","35","35","37","3700000","215176","0.05815567567567568","12","15"
"3","10","5","35","35","37","3700000","256615","0.0693554054054054","12","24"
"2","10","5","35","35","38","3800000","238246","0.06269631578947368","21","32"
"1","10","5","35","35","38","3800000","216731","0.057034473684210524","12","13"
"3","10","5","35","35","38","3800000","260080","0.0684421052631579","14","28"
"1","10","5","35","35","39","3900000","218221","0.05595410256410256","12","13"
"2","10","5","35","35","39","3900000","241865","0.062016666666666664","21","33"
"3","10","5","35","35","39","3900000","263402","0.06753897435897437","15","24"
"1","10","5","35","35","40","4000000","219500","0.054875","12","14"
"2","10","5","35","35","40","4000000","245469","0.06136725","21","30"
"3","10","5","35","35","40","4000000","266553","0.06663825","14","30"
"1","10","5","35","35","41","4100000","220632","0.05381268292682927","12","15"
"2","10","5","35","35","41","4100000","248577","0.06062853658536586","18","25"
"3","10","5","35","35","41","4100000","269639","0.06576560975609756","11","27"
"1","10","5","35","35","42","4200000","221556","0.052751428571428574","12","12"
"3","10","5","35","35","42","4200000","272409","0.06485928571428572","9","16"
"2","10","5","35","35","42","4200000","251576","0.059899047619047616","19","28"
"1","10","5","35","35","43","4300000","222376","0.0517153488372093","12","16"
"3","10","5","35","35","43","4300000","275233","0.06400767441860465","10","14"
"2","10","5","35","35","43","4300000","254485","0.05918255813953489","20","27"
"1","10","5","35","35","44","4400000","223181","0.05072295454545454","12","12"
"3","10","5","35","35","44","4400000","277968","0.06317454545454546","11","25"
"2","10","5","35","35","44","4400000","257551","0.05853431818181818","19","25"
"1","10","5","35","35","45","4500000","223853","0.04974511111111111","12","12"
"3","10","5","35","35","45","4500000","280886","0.06241911111111111","11","20"
"2","10","5","35","35","45","4500000","260361","0.057858","18","25"
"1","10","5","35","35","46","4600000","224388","0.04878","12","14"
"3","10","5","35","35","46","4600000","283510","0.06163260869565217","11","19"
"2","10","5","35","35","46","4600000","262946","0.05716217391304348","18","21"
"1","10","5","35","35","47","4700000","224891","0.04784914893617021","12","12"
"3","10","5","35","35","47","4700000","285944","0.06083914893617021","10","22"
"2","10","5","35","35","47","4700000","265259","0.05643808510638298","15","23"
"1","10","5","35","35","48","4800000","225343","0.04694645833333334","12","14"
"3","10","5","35","35","48","4800000","288422","0.060087916666666664","10","16"
"2","10","5","35","35","48","4800000","267505","0.055730208333333336","15","23"
"1","10","5","35","35","49","4900000","225834","0.04608857142857143","12","12"
"3","10","5","35","35","49","4900000","290960","0.05937959183673469","8","12"
"2","10","5","35","35","49","4900000","269881","0.05507775510204082","14","17"
"1","10","5","35","35","50","5000000","226391","0.0452782","12","15"
"3","10","5","35","35","50","5000000","293291","0.0586582","7","9"
"2","10","5","35","35","50","5000000","272234","0.0544468","14","20"
"1","10","5","35","35","51","5100000","226734","0.04445764705882353","11","11"
"3","10","5","35","35","51","5100000","295376","0.05791686274509804","6","11"
"2","10","5","35","35","51","5100000","274455","0.05381470588235294","14","19"
"1","10","5","35","35","52","5200000","226762","0.04360807692307692","10","10"
"4","10","5","35","35","0","0","0","0","897","900"
"3","10","5","35","35","52","5200000","297624","0.05723538461538462","6","9"
"2","10","5","35","35","52","5200000","276633","0.05319865384615385","14","15"
"3","10","5","35","35","53","5300000","299458","0.05650150943396227","7","9"
"4","10","5","35","35","1","100000","8356","0.08356","454","471"
"2","10","5","35","35","53","5300000","278669","0.052579056603773586","14","18"
"3","10","5","35","35","54","5400000","301550","0.05584259259259259","6","7"
"2","10","5","35","35","54","5400000","280980","0.052033333333333334","14","16"
"4","10","5","35","35","2","200000","18895","0.094475","281","325"
"3","10","5","35","35","55","5500000","303234","0.05513345454545455","5","9"
"2","10","5","35","35","55","5500000","282988","0.051452363636363636","14","18"
"4","10","5","35","35","3","300000","30267","0.10089","237","277"
"3","10","5","35","35","56","5600000","304945","0.05445446428571429","5","7"
"2","10","5","35","35","56","5600000","285127","0.05091553571428571","14","17"
"4","10","5","35","35","4","400000","41307","0.1032675","217","260"
"3","10","5","35","35","57","5700000","306608","0.05379087719298246","5","5"
"2","10","5","35","35","57","5700000","286938","0.05034","13","19"
"4","10","5","35","35","5","500000","52601","0.105202","192","227"
"3","10","5","35","35","58","5800000","308309","0.05315672413793104","5","7"
"2","10","5","35","35","58","5800000","288722","0.04977965517241379","13","17"
"4","10","5","35","35","6","600000","63331","0.10555166666666667","154","193"
"3","10","5","35","35","59","5900000","309828","0.05251322033898305","5","6"
"2","10","5","35","35","59","5900000","290674","0.049266779661016946","13","15"
"3","10","5","35","35","60","6000000","311364","0.051894","5","6"
"4","10","5","35","35","7","700000","72640","0.10377142857142857","116","159"
"2","10","5","35","35","60","6000000","292532","0.04875533333333333","13","16"
