"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"week3.nlogox"
"experiment5"
"03/14/2026 10:49:43:677 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-14","15","-14","15"
"[run number]","Q","F","world-width","world-height","[step]","event-count","interaction-count","interaction-rate","unique-cultures","number-of-regions"
"2","10","5","30","30","0","0","0","0","897","900"
"3","10","5","30","30","0","0","0","0","899","900"
"1","10","5","30","30","0","0","0","0","895","900"
"3","10","5","30","30","1","100000","9091","0.09091","431","465"
"2","10","5","30","30","1","100000","8433","0.08433","442","462"
"1","10","5","30","30","1","100000","8926","0.08926","462","487"
"3","10","5","30","30","2","200000","20329","0.101645","306","358"
"2","10","5","30","30","2","200000","18375","0.091875","319","353"
"1","10","5","30","30","2","200000","20311","0.101555","336","365"
"3","10","5","30","30","3","300000","32002","0.10667333333333333","250","298"
"2","10","5","30","30","3","300000","29456","0.09818666666666667","271","330"
"1","10","5","30","30","3","300000","32234","0.10744666666666666","265","314"
"2","10","5","30","30","4","400000","41015","0.1025375","202","256"
"3","10","5","30","30","4","400000","43320","0.1083","210","250"
"1","10","5","30","30","4","400000","44405","0.1110125","237","288"
"2","10","5","30","30","5","500000","52256","0.104512","187","236"
"3","10","5","30","30","5","500000","54808","0.109616","180","233"
"1","10","5","30","30","5","500000","55970","0.11194","180","225"
"2","10","5","30","30","6","600000","63713","0.10618833333333333","165","229"
"3","10","5","30","30","6","600000","65724","0.10954","153","211"
"1","10","5","30","30","6","600000","67315","0.11219166666666666","163","218"
"2","10","5","30","30","7","700000","74639","0.10662714285714285","126","176"
"3","10","5","30","30","7","700000","75824","0.10832","127","175"
"1","10","5","30","30","7","700000","78391","0.11198714285714285","128","180"
"2","10","5","30","30","8","800000","84505","0.10563125","105","159"
"3","10","5","30","30","8","800000","85290","0.1066125","90","143"
"1","10","5","30","30","8","800000","88476","0.110595","110","146"
"2","10","5","30","30","9","900000","93399","0.10377666666666667","87","124"
"3","10","5","30","30","9","900000","94002","0.10444666666666666","104","148"
"1","10","5","30","30","9","900000","98350","0.10927777777777778","98","138"
"2","10","5","30","30","10","1000000","102048","0.102048","74","106"
"3","10","5","30","30","10","1000000","102353","0.102353","85","118"
"1","10","5","30","30","10","1000000","106884","0.106884","90","124"
"3","10","5","30","30","11","1100000","109626","0.09966","78","109"
"2","10","5","30","30","11","1100000","109988","0.0999890909090909","82","128"
"1","10","5","30","30","11","1100000","115439","0.10494454545454546","89","128"
"3","10","5","30","30","12","1200000","117227","0.09768916666666666","79","120"
"2","10","5","30","30","12","1200000","117764","0.09813666666666666","73","127"
"1","10","5","30","30","12","1200000","123453","0.1028775","74","111"
"3","10","5","30","30","13","1300000","124736","0.09595076923076923","83","126"
"2","10","5","30","30","13","1300000","125332","0.09640923076923077","71","119"
"1","10","5","30","30","13","1300000","130422","0.10032461538461539","86","115"
"3","10","5","30","30","14","1400000","132494","0.09463857142857143","72","116"
"2","10","5","30","30","14","1400000","133417","0.09529785714285714","67","116"
"1","10","5","30","30","14","1400000","137448","0.09817714285714285","78","105"
"3","10","5","30","30","15","1500000","140134","0.09342266666666667","68","113"
"2","10","5","30","30","15","1500000","141175","0.09411666666666667","57","89"
"1","10","5","30","30","15","1500000","143996","0.09599733333333334","73","96"
"3","10","5","30","30","16","1600000","147488","0.09218","64","95"
"2","10","5","30","30","16","1600000","148259","0.092661875","58","101"
"1","10","5","30","30","16","1600000","149817","0.093635625","61","84"
"2","10","5","30","30","17","1700000","154925","0.09113235294117647","60","106"
"3","10","5","30","30","17","1700000","154889","0.09111117647058824","64","90"
"1","10","5","30","30","17","1700000","154929","0.09113470588235294","47","66"
"2","10","5","30","30","18","1800000","161404","0.0896688888888889","49","92"
"3","10","5","30","30","18","1800000","162273","0.09015166666666667","57","89"
"1","10","5","30","30","18","1800000","159838","0.08879888888888889","47","74"
"2","10","5","30","30","19","1900000","167655","0.08823947368421052","48","80"
"3","10","5","30","30","19","1900000","169570","0.08924736842105263","64","105"
"1","10","5","30","30","19","1900000","164607","0.08663526315789474","45","61"
"2","10","5","30","30","20","2000000","174135","0.0870675","50","85"
"3","10","5","30","30","20","2000000","176720","0.08836","62","91"
"1","10","5","30","30","20","2000000","168965","0.0844825","46","64"
"2","10","5","30","30","21","2100000","180230","0.08582380952380952","55","97"
"3","10","5","30","30","21","2100000","183646","0.08745047619047619","62","105"
"1","10","5","30","30","21","2100000","173153","0.08245380952380953","44","66"
"2","10","5","30","30","22","2200000","185966","0.08453","52","89"
"3","10","5","30","30","22","2200000","190992","0.08681454545454545","53","86"
"1","10","5","30","30","22","2200000","177477","0.08067136363636364","38","59"
"2","10","5","30","30","23","2300000","191905","0.08343695652173913","44","79"
"3","10","5","30","30","23","2300000","197246","0.08575913043478262","53","85"
"1","10","5","30","30","23","2300000","181359","0.07885173913043478","35","58"
"2","10","5","30","30","24","2400000","198191","0.08257958333333333","39","75"
"3","10","5","30","30","24","2400000","204157","0.08506541666666667","48","93"
"1","10","5","30","30","24","2400000","185232","0.07718","34","51"
"2","10","5","30","30","25","2500000","204305","0.081722","41","79"
"3","10","5","30","30","25","2500000","211186","0.0844744","43","66"
"1","10","5","30","30","25","2500000","188701","0.0754804","28","38"
"2","10","5","30","30","26","2600000","209943","0.08074730769230769","36","56"
"3","10","5","30","30","26","2600000","217557","0.08367576923076923","44","69"
"1","10","5","30","30","26","2600000","192362","0.07398538461538462","31","47"
"2","10","5","30","30","27","2700000","216006","0.08000222222222222","39","70"
"3","10","5","30","30","27","2700000","223543","0.0827937037037037","48","74"
"1","10","5","30","30","27","2700000","196246","0.07268370370370371","32","44"
"2","10","5","30","30","28","2800000","222100","0.07932142857142857","36","58"
"3","10","5","30","30","28","2800000","229444","0.08194428571428572","45","67"
"1","10","5","30","30","28","2800000","200028","0.07143857142857143","29","42"
"2","10","5","30","30","29","2900000","228470","0.07878275862068966","34","79"
"3","10","5","30","30","29","2900000","234751","0.08094862068965518","39","78"
"1","10","5","30","30","29","2900000","203784","0.0702703448275862","29","43"
"2","10","5","30","30","30","3000000","234165","0.078055","31","51"
"3","10","5","30","30","30","3000000","239705","0.07990166666666666","38","63"
"1","10","5","30","30","30","3000000","207631","0.06921033333333333","36","60"
"2","10","5","30","30","31","3100000","239589","0.07728677419354839","26","46"
"3","10","5","30","30","31","3100000","244502","0.07887161290322581","39","61"
"1","10","5","30","30","31","3100000","211685","0.06828548387096774","28","44"
"2","10","5","30","30","32","3200000","245208","0.0766275","29","51"
"3","10","5","30","30","32","3200000","249270","0.077896875","33","54"
"1","10","5","30","30","32","3200000","215572","0.06736625","29","47"
"2","10","5","30","30","33","3300000","250776","0.07599272727272727","31","51"
"3","10","5","30","30","33","3300000","253611","0.07685181818181819","35","65"
"1","10","5","30","30","33","3300000","219080","0.06638787878787879","25","37"
"2","10","5","30","30","34","3400000","255841","0.07524735294117647","32","49"
"3","10","5","30","30","34","3400000","258161","0.07592970588235294","38","64"
"1","10","5","30","30","34","3400000","221718","0.06521117647058823","26","41"
"2","10","5","30","30","35","3500000","260120","0.07432","27","43"
"3","10","5","30","30","35","3500000","263301","0.07522885714285714","38","66"
"1","10","5","30","30","35","3500000","224987","0.064282","19","33"
"2","10","5","30","30","36","3600000","264212","0.07339222222222222","20","41"
"3","10","5","30","30","36","3600000","268657","0.07462694444444444","35","70"
"1","10","5","30","30","36","3600000","228154","0.0633761111111111","20","30"
"2","10","5","30","30","37","3700000","268560","0.07258378378378379","21","55"
"3","10","5","30","30","37","3700000","274171","0.07410027027027027","30","48"
"1","10","5","30","30","37","3700000","231608","0.06259675675675676","21","32"
"2","10","5","30","30","38","3800000","272505","0.07171184210526316","21","33"
"3","10","5","30","30","38","3800000","279391","0.07352394736842105","32","55"
"1","10","5","30","30","38","3800000","235289","0.06191815789473684","25","44"
"2","10","5","30","30","39","3900000","276436","0.07088102564102564","23","39"
"3","10","5","30","30","39","3900000","284395","0.07292179487179487","32","52"
"1","10","5","30","30","39","3900000","239445","0.06139615384615384","24","43"
"2","10","5","30","30","40","4000000","280366","0.0700915","20","43"
"3","10","5","30","30","40","4000000","288898","0.0722245","33","63"
"1","10","5","30","30","40","4000000","243491","0.06087275","27","43"
"2","10","5","30","30","41","4100000","284483","0.06938609756097561","21","34"
"3","10","5","30","30","41","4100000","293877","0.07167731707317074","33","57"
"1","10","5","30","30","41","4100000","247578","0.06038487804878049","26","36"
"2","10","5","30","30","42","4200000","288467","0.06868261904761905","19","53"
"3","10","5","30","30","42","4200000","298798","0.07114238095238096","31","55"
"1","10","5","30","30","42","4200000","251646","0.05991571428571429","30","56"
"2","10","5","30","30","43","4300000","291847","0.06787139534883721","17","27"
"3","10","5","30","30","43","4300000","303114","0.07049162790697674","26","52"
"1","10","5","30","30","43","4300000","256036","0.05954325581395349","34","50"
"2","10","5","30","30","44","4400000","294879","0.06701795454545455","17","34"
"3","10","5","30","30","44","4400000","307039","0.0697815909090909","20","37"
"1","10","5","30","30","44","4400000","260551","0.05921613636363637","32","62"
"2","10","5","30","30","45","4500000","298233","0.066274","18","32"
"3","10","5","30","30","45","4500000","310259","0.06894644444444445","19","27"
"1","10","5","30","30","45","4500000","264784","0.05884088888888889","30","55"
"2","10","5","30","30","46","4600000","301718","0.0655908695652174","17","29"
"3","10","5","30","30","46","4600000","313424","0.06813565217391304","18","33"
"1","10","5","30","30","46","4600000","269433","0.058572391304347826","37","62"
"2","10","5","30","30","47","4700000","304968","0.0648868085106383","15","31"
"3","10","5","30","30","47","4700000","316913","0.06742829787234042","18","29"
"1","10","5","30","30","47","4700000","273794","0.05825404255319149","27","47"
"2","10","5","30","30","48","4800000","307880","0.06414166666666667","14","25"
"3","10","5","30","30","48","4800000","320449","0.06676020833333333","18","25"
"1","10","5","30","30","48","4800000","278123","0.057942291666666666","30","53"
"2","10","5","30","30","49","4900000","310642","0.06339632653061225","13","17"
"3","10","5","30","30","49","4900000","323662","0.0660534693877551","17","30"
"1","10","5","30","30","49","4900000","282541","0.05766142857142857","31","51"
"2","10","5","30","30","50","5000000","312553","0.0625106","13","19"
"3","10","5","30","30","50","5000000","326689","0.0653378","18","22"
"1","10","5","30","30","50","5000000","286604","0.0573208","30","50"
"2","10","5","30","30","51","5100000","314437","0.0616543137254902","13","23"
"3","10","5","30","30","51","5100000","329875","0.06468137254901961","15","23"
"1","10","5","30","30","51","5100000","291211","0.05710019607843137","29","58"
"2","10","5","30","30","52","5200000","316673","0.060898653846153845","12","15"
"3","10","5","30","30","52","5200000","332827","0.0640051923076923","17","24"
"1","10","5","30","30","52","5200000","295306","0.05678961538461538","28","45"
"2","10","5","30","30","53","5300000","319046","0.06019735849056604","13","19"
"3","10","5","30","30","53","5300000","335716","0.06334264150943396","18","31"
"1","10","5","30","30","53","5300000","299325","0.05647641509433962","24","44"
"2","10","5","30","30","54","5400000","321102","0.05946333333333333","12","15"
"3","10","5","30","30","54","5400000","338864","0.0627525925925926","18","30"
"1","10","5","30","30","54","5400000","303758","0.05625148148148148","27","65"
"2","10","5","30","30","55","5500000","323191","0.058762","13","15"
"3","10","5","30","30","55","5500000","341801","0.06214563636363636","18","26"
"1","10","5","30","30","55","5500000","307934","0.055988","33","50"
"2","10","5","30","30","56","5600000","325329","0.058094464285714284","12","14"
"3","10","5","30","30","56","5600000","344820","0.061575","16","33"
"2","10","5","30","30","57","5700000","327622","0.05747754385964912","13","17"
"1","10","5","30","30","56","5600000","312000","0.055714285714285716","28","51"
"3","10","5","30","30","57","5700000","347972","0.061047719298245616","15","32"
"2","10","5","30","30","58","5800000","329882","0.05687620689655173","13","21"
"1","10","5","30","30","57","5700000","315957","0.05543105263157895","29","52"
"3","10","5","30","30","58","5800000","350836","0.06048896551724138","16","26"
"2","10","5","30","30","59","5900000","332067","0.056282542372881356","12","14"
"1","10","5","30","30","58","5800000","319864","0.055148965517241376","28","50"
"3","10","5","30","30","59","5900000","353745","0.05995677966101695","17","24"
"2","10","5","30","30","60","6000000","334423","0.055737166666666664","12","15"
"1","10","5","30","30","59","5900000","324089","0.054930338983050844","29","42"
"3","10","5","30","30","60","6000000","356546","0.059424333333333336","16","21"
"2","10","5","30","30","61","6100000","336684","0.05519409836065574","13","16"
