[run number],Q,F,world-width,world-height,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,10,5,5,5,207,20700000,629975,0.030433575,8,8
2,10,5,5,5,101,10100000,431034,0.042676634,5,5
3,10,5,5,5,117,11700000,443661,0.037919744,6,6
4,10,5,5,5,120,12000000,325962,0.0271635,21,21
5,10,5,5,5,76,7600000,319713,0.0420675,3,3
6,10,5,5,5,74,7400000,247538,0.033451081,6,6
7,10,5,5,5,396,39600000,505706,0.012770354,7,7
8,10,5,5,5,44,4400000,209866,0.047696818,7,7
9,10,5,5,5,85,8500000,325003,0.038235647,1,1
10,10,5,5,5,139,13900000,306677,0.022063094,11,11
11,10,5,5,5,267,26700000,672787,0.025198015,5,5
12,10,5,5,5,151,15100000,420123,0.027822715,6,6
13,10,5,5,5,164,16400000,610686,0.037236951,2,2
14,10,5,5,5,144,14400000,454681,0.031575069,7,7
15,10,5,5,5,130,13000000,394240,0.030326154,5,5
16,10,5,5,5,84,8400000,374116,0.044537619,5,5
17,10,5,5,5,108,10800000,420478,0.038933148,3,3
18,10,5,5,5,101,10100000,302475,0.02994802,10,10
19,10,5,5,5,51,5100000,251606,0.04933451,7,7
20,10,5,5,5,84,8400000,352843,0.042005119,6,6
21,10,5,5,5,93,9300000,361601,0.038881828,6,6
22,10,5,5,5,84,8400000,336749,0.040089167,5,5
23,10,5,5,5,143,14300000,351130,0.024554545,3,3
24,10,5,5,5,59,5900000,308022,0.052207119,8,8
25,10,5,5,5,120,12000000,495802,0.041316833,5,5
26,10,5,5,5,158,15800000,457205,0.028937025,7,7
27,10,5,5,5,207,20700000,728665,0.035201208,5,5
28,10,5,5,5,106,10600000,448249,0.042287642,3,3
29,10,5,5,5,179,17900000,535963,0.029942067,10,10
30,10,5,5,5,151,15100000,574642,0.038055762,7,7
0,10,5,5,5,131.4333333,13143333.33,419906.6,0.035428949,6.333333333,6.333333333
