"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"week3.nlogox"
"experiment5"
"03/14/2026 10:33:55:973 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-14","15","-14","15"
"[run number]","Q","F","world-width","world-height","[step]","event-count","interaction-count","interaction-rate","unique-cultures","number-of-regions"
"3","10","5","25","25","0","0","0","0","897","900"
"1","10","5","25","25","0","0","0","0","896","900"
"2","10","5","25","25","0","0","0","0","899","900"
"3","10","5","25","25","1","100000","8734","0.08734","422","445"
"1","10","5","25","25","1","100000","8579","0.08579","409","435"
"2","10","5","25","25","1","100000","8956","0.08956","457","469"
"1","10","5","25","25","2","200000","17877","0.089385","272","297"
"3","10","5","25","25","2","200000","19216","0.09608","304","346"
"2","10","5","25","25","2","200000","19762","0.09881","314","357"
"1","10","5","25","25","3","300000","26868","0.08956","262","300"
"3","10","5","25","25","3","300000","29625","0.09875","233","261"
"2","10","5","25","25","3","300000","30214","0.10071333333333334","244","289"
"3","10","5","25","25","4","400000","39340","0.09835","198","232"
"1","10","5","25","25","4","400000","37093","0.0927325","222","265"
"2","10","5","25","25","4","400000","40463","0.1011575","182","235"
"3","10","5","25","25","5","500000","49009","0.098018","175","216"
"2","10","5","25","25","5","500000","50247","0.100494","159","206"
"1","10","5","25","25","5","500000","46768","0.093536","191","240"
"3","10","5","25","25","6","600000","57609","0.096015","143","193"
"2","10","5","25","25","6","600000","59489","0.09914833333333334","145","190"
"1","10","5","25","25","6","600000","56318","0.09386333333333333","144","184"
"3","10","5","25","25","7","700000","65845","0.09406428571428571","133","173"
"2","10","5","25","25","7","700000","68872","0.09838857142857142","133","176"
"1","10","5","25","25","7","700000","65202","0.09314571428571429","141","174"
"3","10","5","25","25","8","800000","73790","0.0922375","137","176"
"2","10","5","25","25","8","800000","77815","0.09726875","123","178"
"1","10","5","25","25","8","800000","73565","0.09195625","133","166"
"3","10","5","25","25","9","900000","81499","0.09055444444444445","109","138"
"2","10","5","25","25","9","900000","86745","0.09638333333333333","100","141"
"1","10","5","25","25","9","900000","81933","0.09103666666666667","118","164"
"3","10","5","25","25","10","1000000","89364","0.089364","112","141"
"2","10","5","25","25","10","1000000","95295","0.095295","95","141"
"1","10","5","25","25","10","1000000","90256","0.090256","111","144"
"3","10","5","25","25","11","1100000","96968","0.08815272727272727","101","124"
"2","10","5","25","25","11","1100000","103750","0.09431818181818181","87","127"
"1","10","5","25","25","11","1100000","98592","0.08962909090909091","110","142"
"3","10","5","25","25","12","1200000","103252","0.08604333333333333","90","123"
"2","10","5","25","25","12","1200000","111814","0.09317833333333334","63","100"
"1","10","5","25","25","12","1200000","107203","0.08933583333333334","110","145"
"3","10","5","25","25","13","1300000","109530","0.08425384615384615","85","114"
"2","10","5","25","25","13","1300000","118384","0.09106461538461538","66","96"
"1","10","5","25","25","13","1300000","115986","0.08922","90","126"
"3","10","5","25","25","14","1400000","115309","0.08236357142857142","71","94"
"2","10","5","25","25","14","1400000","125285","0.08948928571428572","61","92"
"1","10","5","25","25","14","1400000","124324","0.08880285714285714","92","138"
"3","10","5","25","25","15","1500000","120718","0.08047866666666667","66","89"
"2","10","5","25","25","15","1500000","131243","0.08749533333333333","52","78"
"1","10","5","25","25","15","1500000","132736","0.08849066666666666","86","121"
"3","10","5","25","25","16","1600000","125811","0.078631875","66","83"
"2","10","5","25","25","16","1600000","137160","0.085725","49","90"
"1","10","5","25","25","16","1600000","141112","0.088195","77","117"
"3","10","5","25","25","17","1700000","131251","0.0772064705882353","68","83"
"2","10","5","25","25","17","1700000","142459","0.08379941176470589","35","52"
"1","10","5","25","25","17","1700000","149128","0.08772235294117647","63","105"
"3","10","5","25","25","18","1800000","136990","0.07610555555555555","63","83"
"2","10","5","25","25","18","1800000","147843","0.082135","32","55"
"1","10","5","25","25","18","1800000","156313","0.08684055555555556","46","75"
"3","10","5","25","25","19","1900000","142196","0.07484","54","76"
"2","10","5","25","25","19","1900000","152660","0.08034736842105263","31","49"
"1","10","5","25","25","19","1900000","163184","0.08588631578947369","46","83"
"3","10","5","25","25","20","2000000","147055","0.0735275","49","72"
"2","10","5","25","25","20","2000000","157306","0.078653","29","50"
"3","10","5","25","25","21","2100000","150955","0.07188333333333333","43","54"
"1","10","5","25","25","20","2000000","169438","0.084719","47","78"
"2","10","5","25","25","21","2100000","162005","0.0771452380952381","29","55"
"3","10","5","25","25","22","2200000","154920","0.07041818181818182","45","66"
"1","10","5","25","25","21","2100000","175520","0.08358095238095238","45","81"
"2","10","5","25","25","22","2200000","166282","0.07558272727272727","29","41"
"3","10","5","25","25","23","2300000","158563","0.0689404347826087","40","54"
"1","10","5","25","25","22","2200000","181015","0.08227954545454545","36","64"
"2","10","5","25","25","23","2300000","170306","0.07404608695652173","24","44"
"3","10","5","25","25","24","2400000","162342","0.0676425","37","50"
"1","10","5","25","25","23","2300000","185940","0.08084347826086956","34","53"
"2","10","5","25","25","24","2400000","174217","0.07259041666666667","22","38"
"3","10","5","25","25","25","2500000","165968","0.0663872","47","61"
"1","10","5","25","25","24","2400000","190971","0.07957125","39","55"
"2","10","5","25","25","25","2500000","178113","0.0712452","21","33"
"3","10","5","25","25","26","2600000","169683","0.06526269230769231","42","59"
"1","10","5","25","25","25","2500000","196460","0.078584","37","51"
"2","10","5","25","25","26","2600000","182234","0.07009","21","37"
"3","10","5","25","25","27","2700000","172951","0.06405592592592593","37","49"
"2","10","5","25","25","27","2700000","185904","0.06885333333333334","25","50"
"1","10","5","25","25","26","2600000","201929","0.077665","33","54"
"3","10","5","25","25","28","2800000","176013","0.06286178571428572","37","50"
"2","10","5","25","25","28","2800000","189356","0.06762714285714286","22","43"
"1","10","5","25","25","27","2700000","206814","0.07659777777777778","31","52"
"3","10","5","25","25","29","2900000","178752","0.06163862068965517","33","44"
"2","10","5","25","25","29","2900000","192816","0.06648827586206897","23","41"
"1","10","5","25","25","28","2800000","211864","0.07566571428571428","34","55"
"3","10","5","25","25","30","3000000","181443","0.060481","32","47"
"2","10","5","25","25","30","3000000","195956","0.06531866666666666","24","35"
"1","10","5","25","25","29","2900000","216840","0.07477241379310345","32","55"
"3","10","5","25","25","31","3100000","184055","0.059372580645161294","30","48"
"2","10","5","25","25","31","3100000","199080","0.06421935483870968","23","42"
"1","10","5","25","25","30","3000000","221869","0.07395633333333333","30","41"
"3","10","5","25","25","32","3200000","186200","0.0581875","32","46"
"2","10","5","25","25","32","3200000","202509","0.0632840625","21","40"
"1","10","5","25","25","31","3100000","226964","0.0732141935483871","23","39"
"3","10","5","25","25","33","3300000","188289","0.05705727272727273","29","39"
"2","10","5","25","25","33","3300000","205939","0.06240575757575757","17","27"
"3","10","5","25","25","34","3400000","190337","0.05598147058823529","31","40"
"1","10","5","25","25","32","3200000","231969","0.0724903125","27","48"
"2","10","5","25","25","34","3400000","209417","0.06159323529411765","21","30"
"3","10","5","25","25","35","3500000","192138","0.054896571428571427","26","39"
"1","10","5","25","25","33","3300000","236438","0.07164787878787879","24","49"
"2","10","5","25","25","35","3500000","212975","0.06085","21","33"
"3","10","5","25","25","36","3600000","194203","0.05394527777777778","30","44"
"1","10","5","25","25","34","3400000","240762","0.07081235294117647","21","35"
"2","10","5","25","25","36","3600000","216268","0.060074444444444444","18","25"
"3","10","5","25","25","37","3700000","196688","0.05315891891891892","28","40"
"1","10","5","25","25","35","3500000","244834","0.06995257142857143","19","31"
"2","10","5","25","25","37","3700000","219790","0.0594027027027027","17","25"
"3","10","5","25","25","38","3800000","198802","0.05231631578947368","30","38"
"1","10","5","25","25","36","3600000","248611","0.06905861111111111","19","29"
"2","10","5","25","25","38","3800000","223456","0.05880421052631579","17","28"
"3","10","5","25","25","39","3900000","201319","0.05162025641025641","29","43"
"1","10","5","25","25","37","3700000","252027","0.06811540540540541","18","25"
"2","10","5","25","25","39","3900000","227107","0.058232564102564104","14","23"
"3","10","5","25","25","40","4000000","203692","0.050923","27","37"
"1","10","5","25","25","38","3800000","255459","0.06722605263157895","17","26"
"2","10","5","25","25","40","4000000","230800","0.0577","16","28"
"3","10","5","25","25","41","4100000","206238","0.0503019512195122","31","40"
"1","10","5","25","25","39","3900000","258991","0.06640794871794872","20","30"
"2","10","5","25","25","41","4100000","234876","0.057286829268292684","14","30"
"3","10","5","25","25","42","4200000","208615","0.049670238095238094","30","45"
"1","10","5","25","25","40","4000000","262727","0.06568175","17","30"
"3","10","5","25","25","43","4300000","210885","0.04904302325581395","30","42"
"2","10","5","25","25","42","4200000","238666","0.056825238095238095","15","29"
"1","10","5","25","25","41","4100000","266084","0.06489853658536586","16","24"
"3","10","5","25","25","44","4400000","213008","0.04841090909090909","31","46"
"2","10","5","25","25","43","4300000","242261","0.056339767441860464","16","33"
"1","10","5","25","25","42","4200000","269246","0.06410619047619047","14","24"
"3","10","5","25","25","45","4500000","215334","0.047852","32","47"
"2","10","5","25","25","44","4400000","245909","0.05588840909090909","17","27"
"1","10","5","25","25","43","4300000","272096","0.06327813953488372","11","14"
"3","10","5","25","25","46","4600000","217772","0.04734173913043478","29","40"
"2","10","5","25","25","45","4500000","249415","0.055425555555555554","16","29"
"1","10","5","25","25","44","4400000","274912","0.06248","11","17"
"3","10","5","25","25","47","4700000","219817","0.04676957446808511","26","42"
"2","10","5","25","25","46","4600000","252714","0.05493782608695652","15","30"
"1","10","5","25","25","45","4500000","277778","0.06172844444444445","10","13"
"3","10","5","25","25","48","4800000","222156","0.0462825","28","40"
"2","10","5","25","25","47","4700000","255923","0.054451702127659575","15","19"
"1","10","5","25","25","46","4600000","280671","0.06101543478260869","11","13"
"3","10","5","25","25","49","4900000","224724","0.045862040816326534","26","42"
"2","10","5","25","25","48","4800000","258329","0.053818541666666664","12","17"
"1","10","5","25","25","47","4700000","283466","0.06031191489361702","10","12"
"3","10","5","25","25","50","5000000","226992","0.0453984","28","35"
"2","10","5","25","25","49","4900000","260699","0.053203877551020407","11","19"
"1","10","5","25","25","48","4800000","285964","0.059575833333333335","10","14"
