[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,5,10,5,0,1,100000,304,0.00304,3,3
2,5,10,5,0,1,100000,407,0.00407,3,3
3,5,10,5,0,1,100000,545,0.00545,1,1
4,5,10,5,0,1,100000,234,0.00234,3,3
5,5,10,5,0,1,100000,213,0.00213,5,5
6,5,10,5,0,1,100000,663,0.00663,1,1
7,5,10,5,0,1,100000,319,0.00319,3,3
8,5,10,5,0,1,100000,449,0.00449,4,4
9,5,10,5,0,1,100000,466,0.00466,4,4
10,5,10,5,0,1,100000,365,0.00365,2,2
11,5,10,5,0,1,100000,434,0.00434,3,3
12,5,10,5,0,1,100000,244,0.00244,3,3
13,5,10,5,0,1,100000,371,0.00371,2,2
14,5,10,5,0,1,100000,478,0.00478,3,3
15,5,10,5,0,1,100000,373,0.00373,3,3
16,5,10,5,0,1,100000,502,0.00502,1,1
17,5,10,5,0,1,100000,576,0.00576,1,1
18,5,10,5,0,1,100000,566,0.00566,4,4
19,5,10,5,0,1,100000,713,0.00713,1,1
20,5,10,5,0,1,100000,396,0.00396,5,5
21,5,10,5,0,1,100000,284,0.00284,4,4
22,5,10,5,0,1,100000,575,0.00575,2,2
23,5,10,5,0,1,100000,542,0.00542,3,3
24,5,10,5,0,1,100000,549,0.00549,2,2
25,5,10,5,0,1,100000,558,0.00558,1,1
26,5,10,5,0,1,100000,912,0.00912,2,2
27,5,10,5,0,1,100000,601,0.00601,3,3
28,5,10,5,0,1,100000,439,0.00439,4,4
29,5,10,5,0,1,100000,530,0.0053,2,2
30,5,10,5,0,1,100000,485,0.00485,1,1
15.5,5,10,5,0,1,100000,469.7666667,0.004697667,2.633333333,2.633333333
