[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,15,10,5,0,3,300000,26431,0.088103333,1,1
2,15,10,5,0,3,300000,25020,0.0834,2,2
3,15,10,5,0,3,300000,24534,0.08178,1,1
4,15,10,5,0,4,400000,31592,0.07898,2,2
5,15,10,5,0,4,400000,27931,0.0698275,1,1
6,15,10,5,0,4,400000,30380,0.07595,1,1
7,15,10,5,0,3,300000,23410,0.078033333,2,2
8,15,10,5,0,3,300000,18974,0.063246667,4,4
9,15,10,5,0,3,300000,23816,0.079386667,3,3
10,15,10,5,0,3,300000,17935,0.059783333,3,3
11,15,10,5,0,3,300000,23236,0.077453333,1,1
12,15,10,5,0,3,300000,29855,0.099516667,1,1
13,15,10,5,0,3,300000,22264,0.074213333,1,1
14,15,10,5,0,4,400000,28204,0.07051,4,4
15,15,10,5,0,2,200000,16170,0.08085,1,1
16,15,10,5,0,3,300000,20985,0.06995,1,1
17,15,10,5,0,4,400000,25939,0.0648475,1,1
18,15,10,5,0,3,300000,21471,0.07157,3,3
19,15,10,5,0,3,300000,24420,0.0814,1,1
20,15,10,5,0,4,400000,30473,0.0761825,1,1
21,15,10,5,0,3,300000,20453,0.068176667,1,1
22,15,10,5,0,3,300000,20613,0.06871,2,2
23,15,10,5,0,2,200000,21616,0.10808,1,1
24,15,10,5,0,2,200000,16935,0.084675,2,2
25,15,10,5,0,4,400000,30021,0.0750525,4,4
26,15,10,5,0,3,300000,26200,0.087333333,1,1
27,15,10,5,0,4,400000,29828,0.07457,5,5
28,15,10,5,0,3,300000,23277,0.07759,1,1
29,15,10,5,0,3,300000,26492,0.088306667,1,1
30,15,10,5,0,2,200000,18699,0.093495,2,2
15.5,15,10,5,0,3.133333333,313333.3333,24239.13333,0.078365778,1.833333333,1.833333333
