[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,20,10,5,0,12,1200000,80449,0.067040833,2,2
2,20,10,5,0,12,1200000,81681,0.0680675,2,2
3,20,10,5,0,8,800000,69607,0.08700875,2,2
4,20,10,5,0,9,900000,75121,0.083467778,3,3
5,20,10,5,0,7,700000,66971,0.095672857,2,2
6,20,10,5,0,11,1100000,75241,0.068400909,1,1
7,20,10,5,0,6,600000,57221,0.095368333,1,1
8,20,10,5,0,15,1500000,87525,0.05835,3,3
9,20,10,5,0,8,800000,67771,0.08471375,1,1
10,20,10,5,0,8,800000,58288,0.07286,1,1
11,20,10,5,0,12,1200000,88911,0.0740925,2,2
12,20,10,5,0,8,800000,66415,0.08301875,2,2
13,20,10,5,0,5,500000,48039,0.096078,3,3
14,20,10,5,0,13,1300000,76824,0.059095385,3,3
15,20,10,5,0,6,600000,46437,0.077395,2,2
16,20,10,5,0,8,800000,65892,0.082365,3,3
17,20,10,5,0,6,600000,49625,0.082708333,3,3
18,20,10,5,0,9,900000,80282,0.089202222,1,1
19,20,10,5,0,6,600000,57810,0.09635,1,1
20,20,10,5,0,9,900000,74344,0.082604444,2,2
21,20,10,5,0,12,1200000,82376,0.068646667,3,3
22,20,10,5,0,11,1100000,83287,0.075715455,2,2
23,20,10,5,0,8,800000,75578,0.0944725,3,3
24,20,10,5,0,9,900000,83912,0.093235556,1,1
25,20,10,5,0,13,1300000,80380,0.061830769,2,2
26,20,10,5,0,12,1200000,96992,0.080826667,1,1
27,20,10,5,0,9,900000,75309,0.083676667,2,2
28,20,10,5,0,12,1200000,96580,0.080483333,2,2
29,20,10,5,0,7,700000,59223,0.084604286,1,1
30,20,10,5,0,12,1200000,93696,0.07808,2,2
15.5,20,10,5,0,9.433333333,943333.3333,73392.9,0.080181075,1.966666667,1.966666667
