[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,30,10,5,0,73,7300000,349763,0.04791274,1,1
2,30,10,5,0,33,3300000,234207,0.070971818,3,3
3,30,10,5,0,69,6900000,354645,0.051397826,1,1
4,30,10,5,0,24,2400000,205027,0.085427917,2,2
5,30,10,5,0,51,5100000,263005,0.051569608,5,5
6,30,10,5,0,36,3600000,313923,0.087200833,1,1
7,30,10,5,0,43,4300000,259941,0.060451395,1,1
8,30,10,5,0,28,2800000,227728,0.081331429,1,1
9,30,10,5,0,68,6800000,427019,0.062796912,4,4
10,30,10,5,0,30,3000000,236070,0.07869,4,4
11,30,10,5,0,34,3400000,229588,0.067525882,4,4
12,30,10,5,0,35,3500000,233204,0.066629714,2,2
13,30,10,5,0,52,5200000,300563,0.057800577,2,2
14,30,10,5,0,52,5200000,300067,0.057705192,2,2
15,30,10,5,0,35,3500000,265939,0.075982571,1,1
16,30,10,5,0,45,4500000,293909,0.065313111,3,3
17,30,10,5,0,31,3100000,222726,0.071847097,2,2
18,30,10,5,0,38,3800000,269192,0.07084,4,4
19,30,10,5,0,45,4500000,309231,0.068718,1,1
20,30,10,5,0,51,5100000,291313,0.057120196,1,1
21,30,10,5,0,43,4300000,273417,0.063585349,5,5
22,30,10,5,0,32,3200000,255802,0.079938125,2,2
23,30,10,5,0,46,4600000,310255,0.067446739,2,2
24,30,10,5,0,30,3000000,244789,0.081596333,4,4
25,30,10,5,0,54,5400000,333939,0.061840556,2,2
26,30,10,5,0,33,3300000,234394,0.071028485,2,2
27,30,10,5,0,29,2900000,225842,0.077876552,3,3
28,30,10,5,0,29,2900000,247123,0.085214828,2,2
29,30,10,5,0,29,2900000,215452,0.074293793,2,2
30,30,10,5,0,46,4600000,287128,0.06241913,2,2
15.5,30,10,5,0,41.46666667,4146666.667,273840.0333,0.06874909,2.366666667,2.366666667
