[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,25,10,5,0,24,2400000,171168,0.07132,3,3
2,25,10,5,0,26,2600000,171801,0.066077308,2,2
3,25,10,5,0,18,1800000,122926,0.068292222,2,2
4,25,10,5,0,18,1800000,150215,0.083452778,3,3
5,25,10,5,0,30,3000000,225909,0.075303,3,3
6,25,10,5,0,19,1900000,133143,0.070075263,2,2
7,25,10,5,0,29,2900000,141982,0.04895931,7,7
8,25,10,5,0,17,1700000,109447,0.064380588,7,7
9,25,10,5,0,19,1900000,142119,0.074799474,3,3
10,25,10,5,0,18,1800000,153508,0.085282222,1,1
11,25,10,5,0,19,1900000,164617,0.086640526,1,1
12,25,10,5,0,22,2200000,144976,0.065898182,3,3
13,25,10,5,0,19,1900000,168679,0.088778421,1,1
14,25,10,5,0,11,1100000,106973,0.097248182,1,1
15,25,10,5,0,24,2400000,149867,0.062444583,2,2
16,25,10,5,0,25,2500000,130495,0.052198,1,1
17,25,10,5,0,29,2900000,162403,0.056001034,2,2
18,25,10,5,0,17,1700000,135386,0.079638824,2,2
19,25,10,5,0,20,2000000,141878,0.070939,2,2
20,25,10,5,0,26,2600000,178002,0.068462308,1,1
21,25,10,5,0,29,2900000,178769,0.061644483,1,1
22,25,10,5,0,21,2100000,163812,0.078005714,1,1
23,25,10,5,0,21,2100000,164782,0.078467619,1,1
24,25,10,5,0,25,2500000,165334,0.0661336,2,2
25,25,10,5,0,26,2600000,216171,0.083142692,2,2
26,25,10,5,0,30,3000000,185517,0.061839,4,4
27,25,10,5,0,15,1500000,119892,0.079928,2,2
28,25,10,5,0,34,3400000,243465,0.071607353,2,2
29,25,10,5,0,17,1700000,124941,0.073494706,2,2
30,25,10,5,0,31,3100000,163677,0.052799032,1,1
15.5,25,10,5,0,22.63333333,2263333.333,157728.4667,0.071441781,2.233333333,2.233333333
