"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"week3.nlogox"
"stubborn_sweep"
"03/22/2026 11:01:42:953 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","0","9"
"[run number]","epsilon","Q","max-ticks","use-stubborn?","stability-window","F","alpha","stubborn-fraction","grid-size","[step]","interaction-rate","number-of-regions","unique-cultures","active-links","event-count","interaction-count"
"28","0.002","10","35000000","true","10","5","0","0.1","5","12","0.045650833333333335","14","13","17","1200000","54781"
"30","0.002","10","35000000","true","10","5","0","0.1","5","5","0.0482","13","10","16","500000","24100"
"28","0.002","10","35000000","true","10","5","0","0.1","5","13","0.04531307692307692","16","16","18","1300000","58907"
"29","0.002","10","35000000","true","10","5","0","0.1","5","8","0.02848","3","3","3","800000","22784"
"28","0.002","10","35000000","true","10","5","0","0.1","5","14","0.045370714285714285","10","10","4","1400000","63519"
"29","0.002","10","35000000","true","10","5","0","0.1","5","9","0.02756888888888889","6","6","8","900000","24812"
"30","0.002","10","35000000","true","10","5","0","0.1","5","6","0.049001666666666666","10","10","13","600000","29401"
"28","0.002","10","35000000","true","10","5","0","0.1","5","15","0.045560666666666666","13","13","15","1500000","68341"
"29","0.002","10","35000000","true","10","5","0","0.1","5","10","0.027417","5","5","7","1000000","27417"
"30","0.002","10","35000000","true","10","5","0","0.1","5","7","0.05020857142857143","15","13","21","700000","35146"
"28","0.002","10","35000000","true","10","5","0","0.1","5","16","0.045579375","14","13","17","1600000","72927"
"29","0.002","10","35000000","true","10","5","0","0.1","5","11","0.026968181818181818","4","4","4","1100000","29665"
"30","0.002","10","35000000","true","10","5","0","0.1","5","8","0.04977625","13","12","13","800000","39821"
"28","0.002","10","35000000","true","10","5","0","0.1","5","17","0.045941176470588235","12","12","14","1700000","78100"
"29","0.002","10","35000000","true","10","5","0","0.1","5","12","0.026235","4","4","4","1200000","31482"
"30","0.002","10","35000000","true","10","5","0","0.1","5","9","0.049334444444444445","14","12","18","900000","44401"
"28","0.002","10","35000000","true","10","5","0","0.1","5","18","0.04691888888888889","15","14","19","1800000","84454"
