[run number],epsilon,Q,max-ticks,use-stubborn?,stability-window,F,alpha,stubborn-fraction,grid-size,[step],interaction-rate,number-of-regions,unique-cultures,active-links,event-count,largest-region-fraction,interaction-count
39,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.056540769,575,558,786,1300000,0.011111111,73503
40,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.052192308,571,565,753,1300000,0.013333333,67850
41,0.001,10,35000000,TRUE,10,5,0,0.4,30,19,0.056320526,597,585,846,1900000,0.014444444,107009
42,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.059264286,551,541,764,1400000,0.017777778,82970
43,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.052629167,561,553,754,1200000,0.013333333,63155
44,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.056972667,573,566,813,1500000,0.013333333,85459
45,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.057601429,588,585,832,1400000,0.018888889,80642
46,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.053869167,570,561,756,1200000,0.016666667,64643
47,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.056796667,584,570,822,1500000,0.012222222,85195
48,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.053719375,570,558,763,1600000,0.015555556,85951
49,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.054395385,557,549,757,1300000,0.011111111,70714
50,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.065170588,546,536,816,1700000,0.013333333,110790
51,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.054043077,567,555,762,1300000,0.02,70256
52,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.054649375,618,604,831,1600000,0.008888889,87439
53,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.059593529,559,552,774,1700000,0.011111111,101309
54,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.05849625,548,537,757,1600000,0.014444444,93594
55,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.058744375,560,548,781,1600000,0.03,93991
56,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.05395,532,527,724,1300000,0.012222222,70135
57,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.05764,563,552,808,1600000,0.02,92224
58,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.05456,587,574,792,1400000,0.014444444,76384
59,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.056746154,560,544,784,1300000,0.012222222,73770
60,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.063338235,556,543,875,1700000,0.013333333,107675
61,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.055406923,550,539,748,1300000,0.014444444,72029
62,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.061134,548,533,796,1500000,0.016666667,91701
63,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.056981875,592,579,823,1600000,0.011111111,91171
64,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.057886429,585,574,806,1400000,0.008888889,81041
65,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.05337,579,568,758,1300000,0.013333333,69381
66,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.057531765,594,585,807,1700000,0.012222222,97804
67,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.055200769,541,525,721,1300000,0.016666667,71761
68,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.052566923,579,570,781,1300000,0.011111111,68337
69,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.055315,552,544,761,1400000,0.012222222,77441
70,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.053202143,597,580,801,1400000,0.01,74483
71,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.052166923,575,567,748,1300000,0.01,67817
72,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.061470833,548,535,801,1200000,0.017777778,73765
73,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.055469167,563,554,780,1200000,0.016666667,66563
74,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.054308571,572,563,792,1400000,0.01,76032
75,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.056945,557,543,796,1200000,0.014444444,68334
76,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.060926667,553,542,780,1200000,0.02,73112
77,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.058126154,568,558,774,1300000,0.015555556,75564
78,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.058363077,572,559,794,1300000,0.015555556,75872
79,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.056959333,566,562,809,1500000,0.023333333,85439
80,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.055756667,548,537,772,1500000,0.016666667,83635
81,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.056893333,553,546,770,1200000,0.014444444,68272
82,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.054786429,570,561,772,1400000,0.012222222,76701
83,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.0522975,538,528,708,1200000,0.016666667,62757
84,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.0616675,585,568,872,1600000,0.011111111,98668
85,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.051695882,589,586,777,1700000,0.011111111,87883
86,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.058668571,543,537,767,1400000,0.016666667,82136
87,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.061974615,525,517,779,1300000,0.02,80567
88,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.059457647,591,581,840,1700000,0.013333333,101078
89,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.0552775,576,567,769,1600000,0.011111111,88444
90,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.060208125,558,550,801,1600000,0.012222222,96333
91,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.059837143,546,539,780,1400000,0.016666667,83772
92,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.059956154,593,573,863,1300000,0.011111111,77943
93,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.054996667,561,557,745,1500000,0.015555556,82495
94,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.057644,575,568,824,1500000,0.011111111,86466
95,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.053816875,572,557,773,1600000,0.012222222,86107
96,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.052284615,590,583,803,1300000,0.011111111,67970
97,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.05806,572,561,788,1400000,0.013333333,81284
98,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.05718,561,549,796,1500000,0.014444444,85770
99,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.062544667,557,549,816,1500000,0.016666667,93817
100,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.0552,626,611,853,1400000,0.01,77280
50.5,0.001,10,35000000,#DIV/0!,10,5,0,0.4,30,14.42,0.057052865,571.19,560.77,794.53,1442000,0.014433333,82482.34
