[run number],epsilon,Q,max-ticks,use-stubborn?,stability-window,F,alpha,stubborn-fraction,grid-size,[step],interaction-rate,number-of-regions,unique-cultures,active-links,event-count,largest-region-fraction,interaction-count
1,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.057654615,562,552,803,1300000,0.014444444,74951
2,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.053712308,571,565,754,1300000,0.011111111,69826
3,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.055252143,565,555,747,1400000,0.014444444,77353
4,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.0549425,603,592,813,1200000,0.013333333,65931
5,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.056381667,608,588,812,1200000,0.016666667,67658
6,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.056334667,588,580,815,1500000,0.022222222,84502
7,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.056626471,577,564,800,1700000,0.014444444,96265
8,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.0643125,577,569,868,1600000,0.013333333,102900
9,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.057552143,556,545,744,1400000,0.024444444,80573
10,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.053235,571,562,785,1200000,0.011111111,63882
11,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.058577143,558,549,800,1400000,0.016666667,82008
12,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.055542667,598,583,812,1500000,0.01,83314
13,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.0516625,575,569,735,1600000,0.011111111,82660
14,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.060942,586,576,877,1500000,0.008888889,91413
15,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.057925,588,576,836,1400000,0.013333333,81095
16,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.0552725,565,554,799,1200000,0.014444444,66327
17,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.05500125,561,556,748,1600000,0.017777778,88002
18,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.056018571,598,588,841,1400000,0.012222222,78426
19,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.06205,599,584,867,1400000,0.013333333,86870
20,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.055994667,555,543,738,1500000,0.011111111,83992
21,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.057695385,579,573,806,1300000,0.017777778,75004
22,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.061128235,581,574,834,1700000,0.024444444,103918
23,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.055695833,572,563,785,1200000,0.011111111,66835
24,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.0559625,567,560,768,1200000,0.025555556,67155
25,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.059205714,565,552,796,1400000,0.014444444,82888
26,0.001,10,35000000,TRUE,10,5,0,0.4,30,18,0.059353889,577,563,827,1800000,0.013333333,106837
27,0.001,10,35000000,TRUE,10,5,0,0.4,30,14,0.05945,595,581,855,1400000,0.012222222,83230
28,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.058951875,580,571,835,1600000,0.014444444,94323
29,0.001,10,35000000,TRUE,10,5,0,0.4,30,17,0.056625294,543,530,736,1700000,0.013333333,96263
30,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.0564525,572,565,763,1200000,0.012222222,67743
31,0.001,10,35000000,TRUE,10,5,0,0.4,30,12,0.051116667,593,585,781,1200000,0.017777778,61340
32,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.059130625,608,593,876,1600000,0.013333333,94609
33,0.001,10,35000000,TRUE,10,5,0,0.4,30,15,0.058327333,558,550,771,1500000,0.012222222,87491
34,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.060781875,554,540,817,1600000,0.014444444,97251
35,0.001,10,35000000,TRUE,10,5,0,0.4,30,16,0.06041,586,576,832,1600000,0.017777778,96656
36,0.001,10,35000000,TRUE,10,5,0,0.4,30,18,0.063035,562,550,844,1800000,0.012222222,113463
37,0.001,10,35000000,TRUE,10,5,0,0.4,30,13,0.055446154,555,547,768,1300000,0.015555556,72080
38,0.001,10,35000000,TRUE,10,5,0,0.4,30,20,0.0607585,598,586,871,2000000,0.011111111,121517
