[run number],epsilon,Q,max-ticks,use-stubborn?,stability-window,F,alpha,stubborn-fraction,grid-size,[step],interaction-rate,number-of-regions,unique-cultures,active-links,event-count,largest-region-fraction,interaction-count
1,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.069252,498,481,813,1500000,0.018888889,103878
2,0.001,10,35000000,TRUE,10,5,0,0.3,30,19,0.069580526,504,489,831,1900000,0.024444444,132203
3,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.069090714,460,449,764,1400000,0.016666667,96727
4,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.071366,482,473,813,1500000,0.027777778,107049
5,0.001,10,35000000,TRUE,10,5,0,0.3,30,19,0.073732632,493,473,861,1900000,0.017777778,140092
6,0.001,10,35000000,TRUE,10,5,0,0.3,30,19,0.067494211,508,488,803,1900000,0.02,128239
7,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.066516667,520,498,808,1500000,0.014444444,99775
8,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.070068125,470,450,752,1600000,0.017777778,112109
9,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.078737059,492,481,866,1700000,0.013333333,133853
10,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.069031765,483,473,776,1700000,0.028888889,117354
11,0.001,10,35000000,TRUE,10,5,0,0.3,30,18,0.073985,471,462,795,1800000,0.013333333,133173
12,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.069924667,512,494,857,1500000,0.021111111,104887
13,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.078079412,488,470,843,1700000,0.017777778,132735
14,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.075282667,494,481,855,1500000,0.02,112924
15,0.001,10,35000000,TRUE,10,5,0,0.3,30,21,0.07352381,511,490,859,2100000,0.017777778,154400
16,0.001,10,35000000,TRUE,10,5,0,0.3,30,12,0.067969167,497,483,827,1200000,0.017777778,81563
17,0.001,10,35000000,TRUE,10,5,0,0.3,30,18,0.070521111,540,529,893,1800000,0.014444444,126938
18,0.001,10,35000000,TRUE,10,5,0,0.3,30,18,0.072890556,489,471,836,1800000,0.018888889,131203
19,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.067675625,494,483,759,1600000,0.022222222,108281
20,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.069445,528,514,868,1400000,0.021111111,97223
21,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.066310714,485,473,741,1400000,0.022222222,92835
22,0.001,10,35000000,TRUE,10,5,0,0.3,30,19,0.076812632,507,498,893,1900000,0.011111111,145944
23,0.001,10,35000000,TRUE,10,5,0,0.3,30,13,0.061873846,519,497,774,1300000,0.014444444,80436
24,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.065561429,491,472,751,1400000,0.021111111,91786
25,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.074639333,498,474,869,1500000,0.034444444,111959
26,0.001,10,35000000,TRUE,10,5,0,0.3,30,18,0.075257778,512,487,872,1800000,0.014444444,135464
27,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.06947125,491,481,785,1600000,0.02,111154
28,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.071788125,498,484,800,1600000,0.021111111,114861
29,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.072562941,529,516,880,1700000,0.021111111,123357
