[run number],epsilon,Q,max-ticks,use-stubborn?,stability-window,F,alpha,stubborn-fraction,grid-size,[step],interaction-rate,number-of-regions,unique-cultures,active-links,event-count,largest-region-fraction,interaction-count
30,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.070204286,518,508,832,1400000,0.022222222,98286
31,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.070525,525,516,830,1600000,0.024444444,112840
32,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.071514,494,477,855,1500000,0.027777778,107271
33,0.001,10,35000000,TRUE,10,5,0,0.3,30,13,0.06625,522,511,825,1300000,0.015555556,86125
34,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.069262857,518,508,814,1400000,0.023333333,96968
35,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.075512353,490,473,855,1700000,0.025555556,128371
36,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.068246471,523,504,844,1700000,0.014444444,116019
37,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.069416875,513,503,837,1600000,0.012222222,111067
38,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.072674375,529,510,874,1600000,0.023333333,116279
39,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.0722975,490,480,804,1600000,0.023333333,115676
40,0.001,10,35000000,TRUE,10,5,0,0.3,30,13,0.070635385,516,499,851,1300000,0.012222222,91826
41,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.068051765,563,552,866,1700000,0.012222222,115688
42,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.074214,519,506,837,1500000,0.011111111,111321
43,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.077458667,508,487,903,1500000,0.02,116188
44,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.071438667,520,503,860,1500000,0.015555556,107158
45,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.073468,514,502,844,1500000,0.022222222,110202
46,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.071498,495,482,824,1500000,0.047777778,107247
47,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.071824118,503,490,829,1700000,0.018888889,122101
48,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.070057143,486,468,807,1400000,0.014444444,98080
49,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.0738175,522,502,877,1600000,0.022222222,118108
50,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.071908824,543,528,925,1700000,0.013333333,122245
51,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.06925125,505,487,791,1600000,0.023333333,110802
52,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.071254286,507,494,802,1400000,0.022222222,99756
53,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.063291875,491,477,779,1600000,0.021111111,101267
54,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.07034875,521,508,846,1600000,0.02,112558
55,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.068622,519,501,794,1500000,0.013333333,102933
56,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.078665294,474,461,808,1700000,0.032222222,133731
57,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.067920667,481,463,767,1500000,0.018888889,101881
58,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.068901333,501,482,822,1500000,0.026666667,103352
59,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.070446875,481,464,783,1600000,0.012222222,112715
60,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.068995714,508,489,836,1400000,0.017777778,96594
61,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.068438125,483,470,771,1600000,0.023333333,109501
62,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.066838125,507,493,806,1600000,0.022222222,106941
63,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.064617143,533,517,854,1400000,0.02,90464
64,0.001,10,35000000,TRUE,10,5,0,0.3,30,18,0.071433889,492,476,822,1800000,0.02,128581
65,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.069580625,470,461,752,1600000,0.027777778,111329
66,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.072355333,531,518,865,1500000,0.021111111,108533
67,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.069923333,493,472,776,1500000,0.025555556,104885
68,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.074827647,548,527,915,1700000,0.02,127207
69,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.068672667,530,512,868,1500000,0.021111111,103009
70,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.073916,508,494,850,1500000,0.018888889,110874
71,0.001,10,35000000,TRUE,10,5,0,0.3,30,13,0.068693846,536,517,881,1300000,0.013333333,89302
72,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.072266875,470,462,791,1600000,0.022222222,115627
73,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.077504375,513,493,881,1600000,0.017777778,124007
74,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.07269125,504,489,852,1600000,0.015555556,116306
75,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.069494,442,425,762,1500000,0.035555556,104241
76,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.070520667,468,458,781,1500000,0.02,105781
77,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.068874667,492,475,798,1500000,0.026666667,103312
78,0.001,10,35000000,TRUE,10,5,0,0.3,30,13,0.073453077,492,479,849,1300000,0.022222222,95489
79,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.070625,512,495,800,1400000,0.017777778,98875
80,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.069654,490,480,804,1500000,0.022222222,104481
81,0.001,10,35000000,TRUE,10,5,0,0.3,30,12,0.065275,493,484,753,1200000,0.016666667,78330
82,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.072078125,510,497,873,1600000,0.017777778,115325
83,0.001,10,35000000,TRUE,10,5,0,0.3,30,13,0.070096154,518,499,872,1300000,0.025555556,91125
84,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.068904286,481,472,763,1400000,0.035555556,96466
85,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.067427857,515,502,848,1400000,0.015555556,94399
86,0.001,10,35000000,TRUE,10,5,0,0.3,30,12,0.064795,462,450,724,1200000,0.014444444,77754
87,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.073914118,524,504,874,1700000,0.018888889,125654
88,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.076477059,485,465,840,1700000,0.018888889,130011
89,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.076834375,495,481,861,1600000,0.015555556,122935
90,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.070565333,507,494,804,1500000,0.022222222,105848
91,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.07358,502,486,821,1600000,0.028888889,117728
92,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.07504,501,490,860,1500000,0.017777778,112560
93,0.001,10,35000000,TRUE,10,5,0,0.3,30,15,0.071710667,497,484,822,1500000,0.018888889,107566
94,0.001,10,35000000,TRUE,10,5,0,0.3,30,17,0.071218235,499,484,838,1700000,0.015555556,121071
95,0.001,10,35000000,TRUE,10,5,0,0.3,30,21,0.072004762,533,510,848,2100000,0.032222222,151210
96,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.069,503,482,789,1600000,0.03,110400
97,0.001,10,35000000,TRUE,10,5,0,0.3,30,18,0.070536667,514,501,832,1800000,0.013333333,126966
98,0.001,10,35000000,TRUE,10,5,0,0.3,30,18,0.073868333,456,451,800,1800000,0.021111111,132963
99,0.001,10,35000000,TRUE,10,5,0,0.3,30,14,0.070278571,504,488,801,1400000,0.021111111,98390
100,0.001,10,35000000,TRUE,10,5,0,0.3,30,16,0.06651125,534,518,836,1600000,0.014444444,106418
50.5,0.001,10,35000000,#DIV/0!,10,5,0,0.3,30,15.66,0.07090915,503.1,488.04,826.02,1566000,0.020422222,111289.21
