[run number],epsilon,Q,max-ticks,use-stubborn?,stability-window,F,alpha,stubborn-fraction,grid-size,[step],interaction-rate,number-of-regions,unique-cultures,active-links,event-count,largest-region-fraction,interaction-count
1,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.081694375,434,416,846,1600000,0.018888889,130711
2,0.001,10,35000000,TRUE,10,5,0,0.2,30,20,0.0829005,407,376,858,2000000,0.03,165801
3,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.084306875,436,419,855,1600000,0.027777778,134891
4,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.085248824,395,373,819,1700000,0.043333333,144923
5,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.080005,421,406,774,1800000,0.03,144009
6,0.001,10,35000000,TRUE,10,5,0,0.2,30,20,0.088181,397,379,798,2000000,0.031111111,176362
7,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.085608333,405,382,838,1800000,0.021111111,154095
8,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.086647222,425,387,897,1800000,0.036666667,155965
9,0.001,10,35000000,TRUE,10,5,0,0.2,30,20,0.091548,445,416,935,2000000,0.035555556,183096
10,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.082475625,448,421,851,1600000,0.06,131961
11,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.084796875,425,400,840,1600000,0.022222222,135675
12,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.089021875,435,403,905,1600000,0.018888889,142435
13,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.080960667,449,429,851,1500000,0.026666667,121441
14,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.082583333,444,421,863,1500000,0.021111111,123875
15,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.089272941,416,386,847,1700000,0.03,151764
16,0.001,10,35000000,TRUE,10,5,0,0.2,30,19,0.091106842,467,437,968,1900000,0.018888889,173103
17,0.001,10,35000000,TRUE,10,5,0,0.2,30,19,0.088412105,450,422,904,1900000,0.034444444,167983
18,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.090755625,409,388,859,1600000,0.035555556,145209
19,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.07903,440,417,819,1500000,0.036666667,118545
20,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.078879333,429,406,820,1500000,0.03,118319
21,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.083099444,474,444,904,1800000,0.017777778,149579
22,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.081588667,448,416,902,1500000,0.026666667,122383
23,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.080963333,476,452,892,1500000,0.021111111,121445
24,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.086107222,413,392,826,1800000,0.034444444,154993
25,0.001,10,35000000,TRUE,10,5,0,0.2,30,19,0.086526316,436,410,899,1900000,0.021111111,164400
26,0.001,10,35000000,TRUE,10,5,0,0.2,30,21,0.085179048,470,449,877,2100000,0.031111111,178876
27,0.001,10,35000000,TRUE,10,5,0,0.2,30,14,0.087037857,441,417,876,1400000,0.018888889,121853
28,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.084905556,449,419,891,1800000,0.021111111,152830
29,0.001,10,35000000,TRUE,10,5,0,0.2,30,19,0.090088421,396,368,827,1900000,0.027777778,171168
30,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.0795,457,431,887,1700000,0.023333333,135150
31,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.08134,433,412,837,1700000,0.03,138278
32,0.001,10,35000000,TRUE,10,5,0,0.2,30,24,0.086684167,386,364,816,2400000,0.046666667,208042
33,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.083462222,431,414,890,1800000,0.033333333,150232
34,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.07585875,447,416,848,1600000,0.025555556,121374
35,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.07977,433,411,888,1500000,0.032222222,119655
36,0.001,10,35000000,TRUE,10,5,0,0.2,30,19,0.087704737,419,394,851,1900000,0.043333333,166639
37,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.087283125,470,454,929,1600000,0.03,139653
38,0.001,10,35000000,TRUE,10,5,0,0.2,30,20,0.087735,402,386,854,2000000,0.041111111,175470
39,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.084977778,387,366,801,1800000,0.027777778,152960
40,0.001,10,35000000,TRUE,10,5,0,0.2,30,20,0.0843595,433,408,849,2000000,0.022222222,168719
41,0.001,10,35000000,TRUE,10,5,0,0.2,30,19,0.081724737,433,408,859,1900000,0.033333333,155277
42,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.085431333,400,377,859,1500000,0.024444444,128147
43,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.086890588,421,390,853,1700000,0.026666667,147714
44,0.001,10,35000000,TRUE,10,5,0,0.2,30,15,0.078560667,441,421,838,1500000,0.027777778,117841
45,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.088067647,444,418,897,1700000,0.023333333,149715
46,0.001,10,35000000,TRUE,10,5,0,0.2,30,21,0.081869524,402,376,777,2100000,0.028888889,171926
47,0.001,10,35000000,TRUE,10,5,0,0.2,30,16,0.07853375,432,406,859,1600000,0.025555556,125654
48,0.001,10,35000000,TRUE,10,5,0,0.2,30,21,0.088090952,440,419,856,2100000,0.026666667,184991
49,0.001,10,35000000,TRUE,10,5,0,0.2,30,18,0.089746111,461,442,939,1800000,0.028888889,161543
50,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.087807647,437,411,855,1700000,0.02,149273
51,0.001,10,35000000,TRUE,10,5,0,0.2,30,17,0.083838235,403,386,817,1700000,0.033333333,142525
