[run number],epsilon,Q,max-ticks,use-stubborn?,stability-window,F,alpha,stubborn-fraction,grid-size,[step],interaction-rate,number-of-regions,unique-cultures,active-links,event-count,interaction-count
1,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.091005714,238,222,647,1400000,127408
2,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.094685,318,284,785,1400000,132559
3,0.002,10,35000000,TRUE,10,5,0,0.1,30,17,0.102171176,334,299,851,1700000,173691
4,0.002,10,35000000,TRUE,10,5,0,0.1,30,16,0.09142625,342,309,821,1600000,146282
5,0.002,10,35000000,TRUE,10,5,0,0.1,30,15,0.093031333,301,270,759,1500000,139547
6,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.096040714,326,301,780,1400000,134457
7,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.095615,333,311,815,1400000,133861
8,0.002,10,35000000,TRUE,10,5,0,0.1,30,15,0.093085333,294,275,714,1500000,139628
9,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.085787857,273,244,679,1400000,120103
10,0.002,10,35000000,TRUE,10,5,0,0.1,30,16,0.0976075,337,293,843,1600000,156172
11,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.096227143,289,264,755,1400000,134718
12,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.095959286,333,283,847,1400000,134343
13,0.002,10,35000000,TRUE,10,5,0,0.1,30,15,0.099910667,283,254,730,1500000,149866
14,0.002,10,35000000,TRUE,10,5,0,0.1,30,16,0.100215,302,269,808,1600000,160344
15,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.08938,391,355,875,1400000,125132
16,0.002,10,35000000,TRUE,10,5,0,0.1,30,16,0.094504375,284,254,782,1600000,151207
17,0.002,10,35000000,TRUE,10,5,0,0.1,30,15,0.098394,339,290,863,1500000,147591
18,0.002,10,35000000,TRUE,10,5,0,0.1,30,17,0.096845294,313,285,821,1700000,164637
19,0.002,10,35000000,TRUE,10,5,0,0.1,30,15,0.088232,310,281,756,1500000,132348
20,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.094735714,315,279,804,1400000,132630
21,0.002,10,35000000,TRUE,10,5,0,0.1,30,16,0.1025075,340,296,900,1600000,164012
22,0.002,10,35000000,TRUE,10,5,0,0.1,30,16,0.09579125,289,256,770,1600000,153266
23,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.091924286,326,299,816,1400000,128694
24,0.002,10,35000000,TRUE,10,5,0,0.1,30,15,0.093339333,298,261,790,1500000,140009
25,0.002,10,35000000,TRUE,10,5,0,0.1,30,13,0.098533077,315,280,828,1300000,128093
26,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.088215,295,252,755,1400000,123501
27,0.002,10,35000000,TRUE,10,5,0,0.1,30,15,0.097134,354,316,870,1500000,145701
28,0.002,10,35000000,TRUE,10,5,0,0.1,30,15,0.094884,328,296,826,1500000,142326
29,0.002,10,35000000,TRUE,10,5,0,0.1,30,14,0.095717143,305,267,811,1400000,134004
30,0.002,10,35000000,TRUE,10,5,0,0.1,30,16,0.0964925,311,280,765,1600000,154388
31,0.002,10,35000000,TRUE,10,5,0,0.2,30,12,0.082008333,438,409,860,1200000,98410
32,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.086184667,426,399,835,1500000,129277
33,0.002,10,35000000,TRUE,10,5,0,0.2,30,13,0.080128462,365,347,707,1300000,104167
34,0.002,10,35000000,TRUE,10,5,0,0.2,30,13,0.084902308,432,411,840,1300000,110373
35,0.002,10,35000000,TRUE,10,5,0,0.2,30,12,0.083191667,417,389,804,1200000,99830
36,0.002,10,35000000,TRUE,10,5,0,0.2,30,14,0.080241429,414,392,791,1400000,112338
37,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.086376667,399,379,806,1500000,129565
38,0.002,10,35000000,TRUE,10,5,0,0.2,30,14,0.082968571,417,394,847,1400000,116156
39,0.002,10,35000000,TRUE,10,5,0,0.2,30,13,0.084350769,401,368,784,1300000,109656
40,0.002,10,35000000,TRUE,10,5,0,0.2,30,16,0.09054125,441,414,920,1600000,144866
41,0.002,10,35000000,TRUE,10,5,0,0.2,30,14,0.085101429,456,435,887,1400000,119142
42,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.093798667,447,420,920,1500000,140698
43,0.002,10,35000000,TRUE,10,5,0,0.2,30,14,0.084312857,410,391,840,1400000,118038
44,0.002,10,35000000,TRUE,10,5,0,0.2,30,12,0.078623333,447,422,848,1200000,94348
45,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.086604667,402,382,844,1500000,129907
46,0.002,10,35000000,TRUE,10,5,0,0.2,30,14,0.084383571,423,400,844,1400000,118137
47,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.083178667,430,400,831,1500000,124768
48,0.002,10,35000000,TRUE,10,5,0,0.2,30,13,0.080498462,411,385,829,1300000,104648
49,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.080050667,414,393,763,1500000,120076
50,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.082581333,452,431,880,1500000,123872
51,0.002,10,35000000,TRUE,10,5,0,0.2,30,17,0.08524,418,401,818,1700000,144908
52,0.002,10,35000000,TRUE,10,5,0,0.2,30,12,0.083986667,448,424,851,1200000,100784
53,0.002,10,35000000,TRUE,10,5,0,0.2,30,14,0.079792143,369,340,755,1400000,111709
54,0.002,10,35000000,TRUE,10,5,0,0.2,30,12,0.079794167,413,398,805,1200000,95753
55,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.083071333,429,413,841,1500000,124607
56,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.082176667,448,423,908,1500000,123265
57,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.082462667,430,411,865,1500000,123694
58,0.002,10,35000000,TRUE,10,5,0,0.2,30,14,0.081133571,423,402,808,1400000,113587
59,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.086365333,427,403,834,1500000,129548
60,0.002,10,35000000,TRUE,10,5,0,0.2,30,15,0.088572667,455,429,940,1500000,132859
