[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,15,10,5,0,3,300000,23582,0.078606667,4,4
2,15,10,5,0,3,300000,21199,0.070663333,4,4
3,15,10,5,0,3,300000,20831,0.069436667,2,2
4,15,10,5,0,3,300000,24396,0.08132,3,3
5,15,10,5,0,3,300000,22358,0.074526667,5,5
6,15,10,5,0,3,300000,20938,0.069793333,3,3
7,15,10,5,0,2,200000,17326,0.08663,4,4
8,15,10,5,0,2,200000,14633,0.073165,8,8
9,15,10,5,0,2,200000,14769,0.073845,5,5
10,15,10,5,0,2,200000,18399,0.091995,5,5
11,15,10,5,0,3,300000,30325,0.101083333,1,1
12,15,10,5,0,3,300000,20836,0.069453333,2,2
13,15,10,5,0,3,300000,19802,0.066006667,2,2
14,15,10,5,0,3,300000,28456,0.094853333,1,1
15,15,10,5,0,2,200000,21131,0.105655,1,1
16,15,10,5,0,3,300000,22711,0.075703333,1,1
17,15,10,5,0,4,400000,30464,0.07616,1,1
18,15,10,5,0,4,400000,31160,0.0779,2,2
19,15,10,5,0,2,200000,20395,0.101975,1,1
20,15,10,5,0,3,300000,29499,0.09833,1,1
21,15,10,5,0,3,300000,26978,0.089926667,4,4
22,15,10,5,0,2,200000,21871,0.109355,2,2
23,15,10,5,0,2,200000,19693,0.098465,5,5
24,15,10,5,0,2,200000,17807,0.089035,5,5
25,15,10,5,0,3,300000,26496,0.08832,1,1
26,15,10,5,0,2,200000,17490,0.08745,4,5
27,15,10,5,0,5,500000,32823,0.065646,2,2
28,15,10,5,0,3,300000,25740,0.0858,4,4
29,15,10,5,0,3,300000,24587,0.081956667,1,1
30,15,10,5,0,3,300000,21357,0.07119,2,2
15.5,15,10,5,0,2.8,280000,22935.06667,0.083474867,2.866666667,2.9
