[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,20,10,5,0,8,800000,67787,0.08473375,2,2
2,20,10,5,0,8,800000,70375,0.08796875,3,3
3,20,10,5,0,11,1100000,87864,0.079876364,3,3
4,20,10,5,0,6,600000,51379,0.085631667,7,7
5,20,10,5,0,7,700000,56067,0.080095714,4,4
6,20,10,5,0,10,1000000,69389,0.069389,3,3
7,20,10,5,0,9,900000,68551,0.076167778,4,4
8,20,10,5,0,8,800000,65538,0.0819225,3,3
9,20,10,5,0,9,900000,75155,0.083505556,3,3
10,20,10,5,0,10,1000000,79248,0.079248,2,2
11,20,10,5,0,11,1100000,76435,0.069486364,4,4
12,20,10,5,0,8,800000,65600,0.082,1,1
13,20,10,5,0,7,700000,57867,0.082667143,2,2
14,20,10,5,0,7,700000,54742,0.078202857,2,2
15,20,10,5,0,9,900000,89579,0.099532222,1,1
16,20,10,5,0,5,500000,43958,0.087916,2,2
17,20,10,5,0,7,700000,50760,0.072514286,2,2
18,20,10,5,0,6,600000,57806,0.096343333,5,5
19,20,10,5,0,6,600000,53214,0.08869,2,2
20,20,10,5,0,9,900000,71137,0.079041111,1,1
21,20,10,5,0,7,700000,67324,0.096177143,4,4
22,20,10,5,0,8,800000,71571,0.08946375,2,2
23,20,10,5,0,8,800000,70005,0.08750625,4,4
24,20,10,5,0,7,700000,55893,0.079847143,4,4
25,20,10,5,0,9,900000,63681,0.070756667,4,4
26,20,10,5,0,6,600000,53477,0.089128333,1,1
27,20,10,5,0,5,500000,42831,0.085662,3,3
28,20,10,5,0,8,800000,60137,0.07517125,4,4
29,20,10,5,0,7,700000,56361,0.080515714,5,5
30,20,10,5,0,8,800000,71634,0.0895425,3,3
15.5,20,10,5,0,7.8,780000,64178.83333,0.082956771,3,3
