[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,5,10,5,0,1,100000,211,0.00211,6,6
2,5,10,5,0,1,100000,528,0.00528,2,2
3,5,10,5,0,1,100000,499,0.00499,2,2
4,5,10,5,0,1,100000,518,0.00518,3,3
5,5,10,5,0,1,100000,560,0.0056,2,2
6,5,10,5,0,1,100000,387,0.00387,3,3
7,5,10,5,0,1,100000,446,0.00446,1,1
8,5,10,5,0,1,100000,414,0.00414,2,2
9,5,10,5,0,1,100000,325,0.00325,3,3
10,5,10,5,0,1,100000,298,0.00298,5,5
11,5,10,5,0,1,100000,423,0.00423,2,2
12,5,10,5,0,1,100000,457,0.00457,3,3
13,5,10,5,0,1,100000,189,0.00189,4,4
14,5,10,5,0,1,100000,480,0.0048,2,2
15,5,10,5,0,1,100000,361,0.00361,2,2
16,5,10,5,0,1,100000,484,0.00484,1,1
17,5,10,5,0,1,100000,403,0.00403,3,3
18,5,10,5,0,1,100000,388,0.00388,3,3
19,5,10,5,0,1,100000,204,0.00204,4,4
20,5,10,5,0,1,100000,684,0.00684,1,1
21,5,10,5,0,1,100000,324,0.00324,5,5
22,5,10,5,0,1,100000,306,0.00306,3,3
23,5,10,5,0,1,100000,432,0.00432,5,5
24,5,10,5,0,1,100000,310,0.0031,3,3
25,5,10,5,0,1,100000,161,0.00161,5,5
26,5,10,5,0,1,100000,326,0.00326,4,4
27,5,10,5,0,1,100000,261,0.00261,5,5
28,5,10,5,0,1,100000,510,0.0051,3,3
29,5,10,5,0,1,100000,534,0.00534,1,1
30,5,10,5,0,1,100000,392,0.00392,3,3
15.5,5,10,5,0,1,100000,393.8333333,0.003938333,3.033333333,3.033333333
