[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,10,10,5,0,1,100000,6322,0.06322,1,1
2,10,10,5,0,1,100000,6835,0.06835,2,2
3,10,10,5,0,1,100000,4374,0.04374,4,4
4,10,10,5,0,1,100000,6743,0.06743,4,4
5,10,10,5,0,1,100000,4682,0.04682,3,3
6,10,10,5,0,1,100000,6133,0.06133,2,2
7,10,10,5,0,1,100000,4504,0.04504,5,5
8,10,10,5,0,1,100000,4618,0.04618,2,2
9,10,10,5,0,1,100000,5491,0.05491,5,5
10,10,10,5,0,1,100000,5026,0.05026,6,6
11,10,10,5,0,1,100000,6486,0.06486,2,2
12,10,10,5,0,1,100000,6323,0.06323,4,4
13,10,10,5,0,1,100000,7754,0.07754,5,5
14,10,10,5,0,1,100000,5002,0.05002,1,1
15,10,10,5,0,1,100000,5995,0.05995,2,2
16,10,10,5,0,1,100000,8810,0.0881,1,1
17,10,10,5,0,1,100000,5805,0.05805,4,4
18,10,10,5,0,1,100000,5392,0.05392,2,2
19,10,10,5,0,1,100000,4163,0.04163,1,1
20,10,10,5,0,1,100000,6221,0.06221,1,1
21,10,10,5,0,1,100000,7854,0.07854,1,1
22,10,10,5,0,1,100000,4462,0.04462,3,3
23,10,10,5,0,1,100000,6206,0.06206,4,4
24,10,10,5,0,1,100000,4741,0.04741,4,4
25,10,10,5,0,1,100000,5825,0.05825,4,4
26,10,10,5,0,1,100000,5645,0.05645,2,2
27,10,10,5,0,1,100000,3952,0.03952,3,3
28,10,10,5,0,1,100000,6077,0.06077,3,3
29,10,10,5,0,1,100000,6836,0.06836,1,1
30,10,10,5,0,1,100000,5252,0.05252,3,3
15.5,10,10,5,0,1,100000,5784.3,0.057843,2.833333333,2.833333333
