[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,30,10,5,0,48,4800000,309973,0.064577708,1,1
2,30,10,5,0,30,3000000,156840,0.05228,6,6
3,30,10,5,0,30,3000000,252554,0.084184667,1,1
4,30,10,5,0,32,3200000,266598,0.083311875,1,1
5,30,10,5,0,26,2600000,200571,0.077142692,3,3
6,30,10,5,0,59,5900000,340936,0.057785763,2,2
7,30,10,5,0,65,6500000,356524,0.054849846,1,1
8,30,10,5,0,31,3100000,244826,0.078976129,2,2
9,30,10,5,0,35,3500000,279151,0.079757429,1,1
10,30,10,5,0,46,4600000,314765,0.068427174,2,2
11,30,10,5,0,31,3100000,236579,0.076315806,2,2
12,30,10,5,0,32,3200000,274716,0.08584875,1,1
13,30,10,5,0,26,2600000,228930,0.08805,1,1
14,30,10,5,0,34,3400000,255891,0.075262059,2,2
15,30,10,5,0,37,3700000,239199,0.064648378,3,3
16,30,10,5,0,29,2900000,227308,0.078382069,3,3
17,30,10,5,0,35,3500000,286721,0.081920286,1,1
18,30,10,5,0,57,5700000,413267,0.072502982,1,1
19,30,10,5,0,41,4100000,246411,0.060100244,2,2
20,30,10,5,0,36,3600000,313132,0.086981111,3,3
21,30,10,5,0,30,3000000,260390,0.086796667,2,2
22,30,10,5,0,49,4900000,255933,0.052231224,6,6
23,30,10,5,0,34,3400000,277553,0.081633235,2,2
24,30,10,5,0,30,3000000,231372,0.077124,5,5
25,30,10,5,0,33,3300000,252998,0.076666061,4,4
26,30,10,5,0,37,3700000,270854,0.073203784,5,5
27,30,10,5,0,45,4500000,318571,0.070793556,1,1
28,30,10,5,0,25,2500000,204246,0.0816984,3,3
29,30,10,5,0,60,6000000,341471,0.056911833,4,4
30,30,10,5,0,19,1900000,161966,0.085245263,7,7
15.5,30,10,5,0,37.4,3740000,267341.5333,0.073786966,2.6,2.6
