[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,5,10,5,1,0,0,0,0,25,25
2,5,10,5,1,0,0,0,0,25,25
3,5,10,5,1,0,0,0,0,25,25
2,5,10,5,1,1,100000,373,0.00373,5,5
4,5,10,5,1,0,0,0,0,25,25
1,5,10,5,1,1,100000,1356,0.01356,1,1
5,5,10,5,1,0,0,0,0,25,25
3,5,10,5,1,1,100000,1121,0.01121,2,2
6,5,10,5,1,0,0,0,0,25,25
5,5,10,5,1,1,100000,377,0.00377,5,5
7,5,10,5,1,0,0,0,0,25,25
4,5,10,5,1,1,100000,1080,0.0108,2,2
8,5,10,5,1,0,0,0,0,25,25
6,5,10,5,1,1,100000,1108,0.01108,2,2
9,5,10,5,1,0,0,0,0,25,25
7,5,10,5,1,1,100000,641,0.00641,4,4
10,5,10,5,1,0,0,0,0,25,25
8,5,10,5,1,1,100000,651,0.00651,3,3
11,5,10,5,1,0,0,0,0,25,25
9,5,10,5,1,1,100000,755,0.00755,5,5
12,5,10,5,1,0,0,0,0,25,25
11,5,10,5,1,1,100000,1764,0.01764,1,1
13,5,10,5,1,0,0,0,0,25,25
10,5,10,5,1,1,100000,1566,0.01566,1,1
14,5,10,5,1,0,0,0,0,25,25
12,5,10,5,1,1,100000,469,0.00469,2,2
15,5,10,5,1,0,0,0,0,25,25
14,5,10,5,1,1,100000,729,0.00729,3,3
16,5,10,5,1,0,0,0,0,25,25
13,5,10,5,1,1,100000,855,0.00855,3,3
17,5,10,5,1,0,0,0,0,25,25
15,5,10,5,1,1,100000,745,0.00745,3,3
18,5,10,5,1,0,0,0,0,25,25
16,5,10,5,1,1,100000,962,0.00962,2,2
19,5,10,5,1,0,0,0,0,25,25
17,5,10,5,1,1,100000,698,0.00698,4,4
20,5,10,5,1,0,0,0,0,25,25
18,5,10,5,1,1,100000,1126,0.01126,3,3
21,5,10,5,1,0,0,0,0,25,25
19,5,10,5,1,1,100000,1217,0.01217,2,2
22,5,10,5,1,0,0,0,0,25,25
20,5,10,5,1,1,100000,1496,0.01496,3,3
23,5,10,5,1,0,0,0,0,25,25
21,5,10,5,1,1,100000,1259,0.01259,3,3
24,5,10,5,1,0,0,0,0,25,25
22,5,10,5,1,1,100000,198,0.00198,7,7
25,5,10,5,1,0,0,0,0,25,25
23,5,10,5,1,1,100000,874,0.00874,2,2
26,5,10,5,1,0,0,0,0,25,25
24,5,10,5,1,1,100000,818,0.00818,2,2
27,5,10,5,1,0,0,0,0,25,25
25,5,10,5,1,1,100000,753,0.00753,4,4
28,5,10,5,1,0,0,0,0,25,25
26,5,10,5,1,1,100000,1408,0.01408,2,2
29,5,10,5,1,0,0,0,0,25,25
27,5,10,5,1,1,100000,447,0.00447,2,2
28,5,10,5,1,1,100000,734,0.00734,3,3
30,5,10,5,1,0,0,0,0,25,25
29,5,10,5,1,1,100000,466,0.00466,2,2
30,5,10,5,1,1,100000,521,0.00521,2,2
