[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,20,10,5,1,11,1100000,264140,0.240127273,1,1
2,20,10,5,1,11,1100000,305900,0.278090909,1,1
3,20,10,5,1,19,1900000,382792,0.201469474,1,1
4,20,10,5,1,22,2200000,433821,0.197191364,1,1
5,20,10,5,1,22,2200000,353942,0.160882727,1,1
6,20,10,5,1,12,1200000,293114,0.244261667,1,1
7,20,10,5,1,9,900000,211464,0.23496,1,1
8,20,10,5,1,11,1100000,318175,0.28925,1,1
9,20,10,5,1,16,1600000,389846,0.24365375,1,1
10,20,10,5,1,17,1700000,413094,0.242996471,1,1
11,20,10,5,1,19,1900000,446278,0.234883158,1,1
12,20,10,5,1,12,1200000,326657,0.272214167,1,1
13,20,10,5,1,17,1700000,435562,0.256212941,1,1
14,20,10,5,1,18,1800000,416152,0.231195556,1,1
15,20,10,5,1,12,1200000,307732,0.256443333,1,1
16,20,10,5,1,11,1100000,276298,0.25118,1,1
17,20,10,5,1,8,800000,226327,0.28290875,1,1
18,20,10,5,1,16,1600000,420938,0.26308625,1,1
19,20,10,5,1,16,1600000,405208,0.253255,2,2
20,20,10,5,1,15,1500000,350230,0.233486667,1,1
21,20,10,5,1,12,1200000,260191,0.216825833,1,1
22,20,10,5,1,25,2500000,587585,0.235034,1,1
23,20,10,5,1,16,1600000,367583,0.229739375,1,1
24,20,10,5,1,18,1800000,463830,0.257683333,1,1
25,20,10,5,1,14,1400000,337005,0.240717857,1,1
26,20,10,5,1,11,1100000,318889,0.289899091,2,2
27,20,10,5,1,18,1800000,447597,0.248665,2,2
28,20,10,5,1,19,1900000,406728,0.214067368,1,1
29,20,10,5,1,17,1700000,392455,0.230855882,2,2
30,20,10,5,1,22,2200000,366911,0.166777727,1,1
15.5,20,10,5,1,15.53333333,1553333.333,364214.8,0.239933831,1.133333333,1.133333333
