[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,25,10,5,1,24,2400000,660169,0.275070417,1,1
2,25,10,5,1,28,2800000,747748,0.267052857,3,3
3,25,10,5,1,40,4000000,978419,0.24460475,1,1
4,25,10,5,1,59,5900000,1175250,0.199194915,1,1
5,25,10,5,1,56,5600000,1148566,0.205101071,1,1
6,25,10,5,1,53,5300000,1062336,0.200440755,1,1
7,25,10,5,1,29,2900000,740328,0.255285517,2,2
8,25,10,5,1,25,2500000,724858,0.2899432,1,1
9,25,10,5,1,49,4900000,1011444,0.206417143,1,1
10,25,10,5,1,33,3300000,956282,0.289782424,1,1
11,25,10,5,1,29,2900000,741445,0.25567069,1,1
12,25,10,5,1,22,2200000,512666,0.23303,1,1
13,25,10,5,1,25,2500000,618995,0.247598,1,1
14,25,10,5,1,44,4400000,910123,0.206846136,1,1
15,25,10,5,1,40,4000000,1121303,0.28032575,1,1
16,25,10,5,1,44,4400000,1029871,0.234061591,1,1
17,25,10,5,1,32,3200000,911273,0.284772813,1,1
18,25,10,5,1,27,2700000,627257,0.232317407,2,2
19,25,10,5,1,28,2800000,608849,0.217446071,1,1
20,25,10,5,1,24,2400000,513510,0.2139625,1,1
21,25,10,5,1,69,6900000,1165116,0.168857391,1,1
22,25,10,5,1,23,2300000,566444,0.24628,1,1
23,25,10,5,1,44,4400000,954899,0.2170225,1,1
24,25,10,5,1,54,5400000,1288461,0.238603889,1,1
25,25,10,5,1,25,2500000,714807,0.2859228,1,1
26,25,10,5,1,48,4800000,1243127,0.258984792,1,1
27,25,10,5,1,43,4300000,1136355,0.264268605,1,1
28,25,10,5,1,33,3300000,797354,0.241622424,1,1
29,25,10,5,1,46,4600000,1197109,0.260241087,1,1
30,25,10,5,1,32,3200000,743794,0.232435625,1,1
15.5,25,10,5,1,37.6,3760000,886938.6,0.241772104,1.133333333,1.133333333
