[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,15,10,5,1,4,400000,99542,0.248855,1,1
2,15,10,5,1,6,600000,119973,0.199955,1,1
3,15,10,5,1,6,600000,120084,0.20014,1,1
4,15,10,5,1,3,300000,80325,0.26775,1,1
5,15,10,5,1,5,500000,87048,0.174096,2,2
6,15,10,5,1,5,500000,106451,0.212902,3,3
7,15,10,5,1,4,400000,98859,0.2471475,1,1
8,15,10,5,1,4,400000,85254,0.213135,1,1
9,15,10,5,1,6,600000,133879,0.223131667,2,2
10,15,10,5,1,5,500000,119444,0.238888,1,1
11,15,10,5,1,6,600000,129855,0.216425,1,1
12,15,10,5,1,7,700000,149285,0.213264286,3,3
13,15,10,5,1,4,400000,73209,0.1830225,1,1
14,15,10,5,1,5,500000,99036,0.198072,1,1
15,15,10,5,1,8,800000,159822,0.1997775,1,1
16,15,10,5,1,5,500000,123574,0.247148,1,1
17,15,10,5,1,4,400000,95208,0.23802,1,1
18,15,10,5,1,3,300000,77982,0.25994,1,1
19,15,10,5,1,8,800000,170664,0.21333,2,2
20,15,10,5,1,6,600000,138029,0.230048333,1,1
21,15,10,5,1,4,400000,92013,0.2300325,1,1
22,15,10,5,1,6,600000,105052,0.175086667,1,1
23,15,10,5,1,5,500000,116078,0.232156,1,1
24,15,10,5,1,7,700000,162306,0.231865714,1,1
25,15,10,5,1,7,700000,146817,0.209738571,1,1
26,15,10,5,1,3,300000,70157,0.233856667,1,1
27,15,10,5,1,7,700000,148188,0.211697143,1,1
28,15,10,5,1,5,500000,96493,0.192986,2,2
29,15,10,5,1,5,500000,109286,0.218572,1,1
30,15,10,5,1,6,600000,129407,0.215678333,1,1
15.5,15,10,5,1,5.3,530000,114777.3333,0.219223913,1.266666667,1.266666667
