[run number],grid-size,Q,F,alpha,[step],event-count,interaction-count,interaction-rate,unique-cultures,number-of-regions
1,30,10,5,1,63,6300000,1532382,0.243235238,1,1
2,30,10,5,1,76,7600000,2020991,0.265919868,1,1
3,30,10,5,1,61,6100000,1415934,0.232120328,1,1
4,30,10,5,1,44,4400000,1149776,0.261312727,1,1
5,30,10,5,1,74,7400000,1760863,0.237954459,1,1
6,30,10,5,1,96,9600000,1762834,0.183628542,1,1
7,30,10,5,1,60,6000000,1160776,0.193462667,1,1
8,30,10,5,1,78,7800000,1902455,0.243904487,1,1
9,30,10,5,1,48,4800000,1263739,0.263278958,1,1
10,30,10,5,1,100,10000000,2068134,0.2068134,1,1
11,30,10,5,1,64,6400000,1615089,0.252357656,1,1
12,30,10,5,1,76,7600000,1732495,0.227959868,1,1
13,30,10,5,1,59,5900000,1601993,0.271524237,1,1
14,30,10,5,1,47,4700000,1207928,0.257005957,1,1
15,30,10,5,1,72,7200000,1645074,0.2284825,1,1
16,30,10,5,1,71,7100000,1591725,0.22418662,1,1
17,30,10,5,1,71,7100000,1757763,0.247572254,1,1
18,30,10,5,1,58,5800000,1390308,0.239708276,1,1
19,30,10,5,1,45,4500000,1265511,0.281224667,1,1
20,30,10,5,1,46,4600000,1171344,0.25464,1,1
21,30,10,5,1,83,8300000,2031678,0.244780482,1,1
22,30,10,5,1,88,8800000,2286678,0.259849773,1,1
23,30,10,5,1,106,10600000,2013857,0.189986509,1,1
24,30,10,5,1,86,8600000,1957381,0.227602442,1,1
25,30,10,5,1,72,7200000,1856295,0.25781875,1,1
26,30,10,5,1,80,8000000,1983581,0.247947625,1,1
27,30,10,5,1,61,6100000,1344329,0.220381803,1,1
28,30,10,5,1,115,11500000,2672273,0.232371565,1,1
29,30,10,5,1,90,9000000,2195749,0.243972111,1,1
30,30,10,5,1,94,9400000,2313899,0.246159468,1,1
15.5,30,10,5,1,72.8,7280000,1722427.8,0.239572108,1,1
